"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"14","[7887] SAK P. B. (2004)","samp. 7-CORE","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA","TERRACES IN THE LOWER REACHES OF RIO PARRITA AND RIO BARRANCA",9.5,10,-84.5,-85.5,"subaerial",NA,NA,"BASALT",NA,NA,NA,NA,"QUARTZ",NA,NA,"core",NA,"primary",97.1,0.1,0.2,0,0.3,0,0,0,0.1,0,0,0,0,0,0.14,0,0,0,0,0,0,0,"QUARTZ"
"15","[7887] SAK P. B. (2004)","samp. 7-CORE","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA","TERRACES IN THE LOWER REACHES OF RIO PARRITA AND RIO BARRANCA",9.5,10,-84.5,-85.5,"subaerial",NA,NA,"BASALT",NA,NA,NA,NA,"QUARTZ",NA,NA,"core",NA,"primary",95.9,0.1,0.9,0.04,0.6,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"16","[7887] SAK P. B. (2004)","samp. 10-RIND","CONVERGENT MARGIN","CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA","TERRACES IN THE LOWER REACHES OF RIO PARRITA AND RIO BARRANCA",9.5,10,-84.5,-85.5,"subaerial",NA,NA,"BASALT",NA,NA,NA,NA,"QUARTZ",NA,NA,"rim",NA,"primary",97.8,0,0.1,0,0.3,0.1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,"QUARTZ"
"17","[9416] WILLIAMS J. F. (1887)","samp. 26","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / TUSCAN VOLCANIC PROVINCE / MONTE AMIATA","AMIATA",42.88,42.88,11.55,11.55,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.35,0,0.14,0.027,0.1828,0.05,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"18","[10022] WANG B. (2007)","samp. XJ-325","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / XINJIANG PROVINCE","AXI GOLD MINE, YILI BLOCK",44.2,44.3,81.5,81.75,"subaerial",NA,NA,"ANDESITE",NA,NA,NA,NA,"QUARTZ",NA,NA,"rim",NA,"primary",93.364,0.08,0.441,0,3.65,0.37,0.146,0.002,0.025,0.007,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"19","[11483] BALI E. (2008)","samp. SZG-KLM01","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / BAKONY-BALATON HIGHLANDS / SZIGLIGET",NA,46.8,46.8,17.43,17.43,"subaerial",NA,NA,"WEBSTERITE, XENOLITH",NA,NA,NA,"fresh","QUARTZ",NA,NA,NA,NA,"primary",101.5,0.03,0.03,0.12,0.27,0,0.02,0.04,0,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"20","[12418] LAI SHAOCONG (2003)","samp. P6H","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / QINGHAI PROVINCE","ZHENTOUYA AREA, SOUTH TO ULAN UL LAKE AREA, HOH XIL REGION",34,34.5,90,90.5,"subaerial",NA,NA,"GRANULITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.53,0,0.03,0.18,0,0,0.19,0.06,0.02,0,0.026,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"21","[14075] BOUTONNET E. (2010)","samp. PA-06-15","CONVERGENT MARGIN","ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA","NEAR PICO ROJO",-47.0142,-47.0142,-71.7652,-71.7652,"subaerial",NA,NA,"TRACHYANDESITE",NA,NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",100.38,0,0.02,0.032,0,0,0,0,0.01,0.01,0.026,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"22","[14611] YU HONG-MEI (2010)","samp. 08TCH3-1-2","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / YUNNAN PROVINCE / TENGCHONG VOLCANIC FIELD - HEIKONGSHAN",NA,25.23,25.23,98.5,98.5,"subaerial",NA,NA,"GABBRO","GABBROIC-DIABASIC",NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",99.18,0.05,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,"QUARTZ"
"23","[14611] YU HONG-MEI (2010)","samp. 08TCH2-4-1","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / YUNNAN PROVINCE / TENGCHONG VOLCANIC FIELD - HEIKONGSHAN",NA,25.23,25.23,98.5,98.5,"subaerial",NA,NA,"GABBRO","GABBROIC",NA,NA,NA,"QUARTZ",NA,NA,NA,NA,"primary",98.9,0,0,0.01,0,0,0,0,0,0,0.00104537647123525,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
