"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"1","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.06,57.5,0.08,0,1.71,37.23,0.1,0.03,0.01,0.07,0.0383636363636364,0.19,0.16,0,0.059,0,0,0,0,0,0,0,"PEROVSKITE"
"2","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.04,58.76,0.13,0.77,2.58,37.88,0.4,0.03,0.1027,0,0.08,0.19,0.184,0,0.015,0,0,2.22334,0,0,0,0.595,"PEROVSKITE"
"3","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.03851,56.98,0.06,0.03,1.364,37.58,0.1,0.03,0.0082,0.15,0.07,0.42,0.171,0,0.017,0,0,0,0,0.25,0,0.12,"PEROVSKITE"
"4","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.08,56.98,0.13,0.247,1.91,36.21,0.037,0.01,0.097,0.07,0.0512857142857143,0.19,0.109,0,0.0178,0,0,0,0,0.25,0,0.11,"PEROVSKITE"
"5","[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE",NA,28,28.6,-16.1,-16.9,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",3.6,35.8,0.41,1.38,1.07,2.42,2.49,0,0.43,10.7,0.08,0.42,0.063,0,0.0227,0,0,1.889767,0,0,0,0.2,"PEROVSKITE"
"6","[962] WOLFF J. A. (1987)","samp. SX3","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","LOPARITE","1337",NA,NA,NA,"primary",9.77,38.61,0.434,1,1.27,4.44,0.355,0.3580924,0.55,9.18,0.63,0.19,0.112,0.003,0.029,0,0,0,0,0.16,0,0.555,"PEROVSKITE"
"7","[962] WOLFF J. A. (1987)","samp. S1/4","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","LOPARITE","1342",NA,NA,NA,"primary",0.35,39.89,0.59,1.05,0.93,4.04,2.07,0,0.149,9.76,0.2,0.33,0.06,0,0.002,0,0,0,0,0,0,0.6,"PEROVSKITE"
"8","[962] WOLFF J. A. (1987)","samp. S1/4","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","LOPARITE","1344",NA,NA,NA,"primary",1.2959,37.37,0.453,1.74,1.46,3.23,0.23,0,0.156,10.94,0.19,0.33,0.06,0,0.079,0,0,0,0,0.12,0,0.47,"PEROVSKITE"
"9","[2422] GIBSON S. A. (1999)","samp. 93SOB162","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZO / BRAZIL_MESOZOIC / LAGES VOLCANIC FIELD","CERRO ALTO DE CIMA, SANTA CATARINA",-27.58,-28,-50,-50.35,"subaerial",NA,NA,"MELILITITE, OLIVINE",NA,NA,NA,"fresh","PEROVSKITE",NA,NA,NA,NA,"primary",0.21,57.91,0.06,0.05,0.2371525,38.94,0.0688,0.02,0.126,1.11,0.0383636363636364,0.19,0.093,0,0.06,0,0,0.02,0,0,0,0,"PEROVSKITE"
"10","[2422] GIBSON S. A. (1999)","samp. 93SOB168","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZO / BRAZIL_MESOZOIC / LAGES VOLCANIC FIELD","CHAPADA, SANTA CATARINA",-27.58,-28,-50,-50.35,"subaerial",NA,NA,"NEPHELINITE","FINE-GRAINED GROUNDMASS",NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.23,55.81,0.03,0.27,1.09,35.66,0,0,0.094,0.74,0,0.19,0.133,0.00566666666666667,0.01,0,0,0,0,0,0,0,"PEROVSKITE"
"11","[3727] DAWSON J. B. (1978)","samp. M6463/186","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA",NA,-7.94,-9.25,160.79,161.91,"subaquatic",NA,NA,"ALN<d6>ITE",NA,NA,NA,NA,"PEROVSKITE",NA,"groundmass",NA,NA,"primary",0.4,56.8,0.358,0.234,1.124,40.4,0.09,0.03228,0,0.209,0.05,0.33,0.298,0.003,0.01,0,0,0,0,0,0,0,"PEROVSKITE"
"12","[4445] ANDERSON A. T. JR. (1971)","samp. HC7-6B","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / LASSEN VOLCANIC CENTER","HAT CREEK VALLEY",40.5,40.5,-121.085,-121.085,"subaerial",NA,NA,"THOLEIITE, OLIVINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",2.3,51.9,0.7,0.02,1.83,39.3,1.2,0.0459150028709748,0.2,1.7,0.2,0.33,0.171,0.003,0.065,0,0,0,0,0.38,0,1.51,"PEROVSKITE"
"13","[4757] LAUGHLIN A. W. (1989)","samp. BOL","INTRAPLATE VOLCANICS","COLORADO PLATEAU / NAVAJO SECTION / COLORADO / NAVAJO VOLCANIC FIELD","DIKES, HASBIDITO CREEK",36.63,36.63,-109.33,-109.33,"subaerial",NA,NA,"KATUNGITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.04,57.5,0.26,0,1.54,39.23,0.07,0.00566666666666667,0.05,0.38,0.05,0.42,0.134,0.003,0,0,0,0,0,0.25,0,0.101,"PEROVSKITE"
"14","[4757] LAUGHLIN A. W. (1989)","samp. AWL-5-86","INTRAPLATE VOLCANICS","COLORADO PLATEAU / NAVAJO SECTION / COLORADO / NAVAJO VOLCANIC FIELD","DIKES, HASBIDITO CREEK",36.63,36.63,-109.33,-109.33,"subaerial",NA,NA,"MELILITITE, OLIVINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.36,54.46,0.29,0.21,1.416,37.6,0.04,0.032,0.09,0.34,0,0.19,0.155,0,0.037,0,0,0,0,0,0,0.066,"PEROVSKITE"
"15","[5726] NAGATA J. (1982)","samp. IW328","CONVERGENT MARGIN","KURILE ARC / KURILE ARC / HOKKAIDO / IWANAIDAKE PERIDOTITE","QUARRY IN CENTER OF PERIDOTITE MASS",42.7,43.3,142,143,"subaerial",NA,NA,"DUNITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"secondary",0.07,58.4,0.08,0.4,0.26,39.2,0.13,0.08,0.025,0.49,0.0282,0.33,0.133,0.003,0.079,0,0,0,0,0.38,0,0.41,"PEROVSKITE"
"16","[6153] BROOKS C. K. (1974)","samp. MM20385/A","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / EAST GREENLAND / KANGERLUGSSUAQ INTRUSION","KANGERDLUGSSUAQ FJORD",68.15,68.15,-31.75,-31.75,"subaerial",NA,NA,"NEPHELINITE, OLIVINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.284,59.36,0.1,0.1,1.291,38.03,0.09,0.0366,0.3569,0.44,0.2,0.42,0.399,0.00566666666666667,0.059,0,0,0,0,0,0,0.02,"PEROVSKITE"
"17","[6156] BERNSTEIN S. (2000)","samp. 420205","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / EAST GREENLAND / PRINCE OF WALES BJERGE FORMATION","NUNATAK REGION ALKALINE PROVINCE",73.75,74.2,-26,-30,"subaerial",NA,NA,"MELILITITE","SERIATE",NA,NA,"fresh","PEROVSKITE",NA,NA,NA,NA,"primary",0,58.77,0.14,0,1.01,37.37,0,0,0,0.66,0.19,0.33,0.027,0.00566666666666667,0,0,0,0,0,0,0,0.072,"PEROVSKITE"
"18","[6233] MELLUSO L. (2002)","samp. B163","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","COASTAL DIKES, MURUD-JANJIRA, 70 KM SOUTH OF BOMBAY",18.3,18.3,72.88,72.88,"subaerial",NA,NA,"MELTEIGITE","HOLOCRYSTALLINE, STRONGLY PORPHYRITIC",NA,NA,"fresh","PEROVSKITE",NA,NA,NA,NA,"primary",1.78,53.35,0.19,0,0.6654,33.41,0.192,0.1,0.55,2.8,0.63,0.42,0.31,0.00566666666666667,0.01818,0,0,1.889767,0,0.16,0,0,"PEROVSKITE"
"19","[6233] MELLUSO L. (2002)","samp. B251","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","COASTAL DIKES, MURUD-JANJIRA, 70 KM SOUTH OF BOMBAY",18.3,18.3,72.88,72.88,"subaerial",NA,NA,"LAMPROPHYRE","SUBAPHYRIC",NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.171,55.6,0.04,0.03,0.4,35.07,0.072,0.061,0.0141,1,0.0383636363636364,0.19,0.24,0.00566666666666667,0.017,0,0,0,0,0,0,0.086,"PEROVSKITE"
"20","[7740] CHALAPATHI RAO N. V. (2004)","samp. P3","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / ANANTAPUR DISTRICT / LATTAVARAM KIMBERLITE","PIPE 3",14.9236,14.9236,77.2883,77.2883,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.038,54.75,0.194,0,1.1,36.61,0,0.03,0.014,0.629,0.0269,0.33,0.085,0.003,0.037,0,0,0,0,0.25,0,0.192,"PEROVSKITE"
"21","[7740] CHALAPATHI RAO N. V. (2004)","samp. P4","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / ANANTAPUR DISTRICT / LATTAVARAM KIMBERLITE","PIPE 4",14.9236,14.9236,77.2886,77.2886,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0,54.54,0.332,0.1,0.92,37.11,0.0303,0.0477927177034273,0.02,0.328,0.034,0.19,0.032,0.003,0.029,0,0,0,0,0.25,0,0.1,"PEROVSKITE"
"22","[7740] CHALAPATHI RAO N. V. (2004)","samp. P4","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / ANANTAPUR DISTRICT / LATTAVARAM KIMBERLITE","PIPE 4",14.9236,14.9236,77.2886,77.2886,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0,55.13,0.051,0.24,0.94,37.58,0,0.05,0.03,0.4738,0.16,0.33,0,0.00566666666666667,0,0,0,0,0,0.25,0,0.0103561353504348,"PEROVSKITE"
"23","[7740] CHALAPATHI RAO N. V. (2004)","samp. CH-10","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / ANANTAPUR DISTRICT / CHIGICHERLA KIMBERLITE","PIPE 10",14.525,14.525,77.295,77.295,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.038,55.88,0.15,0.59,2.09,38.84,0,0,0.046,0.316,0.0329,0.19,0.177,0,0.0256,0,0,0,0,0.25,0,0.01,"PEROVSKITE"
"24","[7740] CHALAPATHI RAO N. V. (2004)","samp. P11/2C","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / ANANTAPUR DISTRICT / CHIGICHERLA KIMBERLITE","PIPE 11",14.5375,14.5375,77.2947,77.2947,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.057,56.12,0.15,0,2,37.81,0.049,0,0.06,0.43,0.0305,0.42,0.133,0.003,0,0,0,0,0,0.25,0,0.025214938244537,"PEROVSKITE"
"25","[7740] CHALAPATHI RAO N. V. (2004)","samp. KK10","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / KOTAKONDA KIMBERLITE",NA,16.7639,16.7639,77.2942,77.2942,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.01,58.61,0.0805,2e-04,0.92,39.92,0.026,0.1,0.244,0.69,0.63,0.42,0,0.00566666666666667,0.0965,0,0,0.19,0,0.16,0,0.176,"PEROVSKITE"
"26","[7740] CHALAPATHI RAO N. V. (2004)","samp. MD/11","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / MADDUR KIMBERLITE",NA,16.865,16.865,77.2917,77.2917,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.076,58.65,0.17,0,0.93,39.37,0.052,0.0233,0.024,0.5024,0.0383636363636364,0.19,0.12,0.003,0.024,0,0,0,0,0,0,0.112,"PEROVSKITE"
"27","[7740] CHALAPATHI RAO N. V. (2004)","samp. NP","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / NARAYANPET KIMBERLITE",NA,16.7511,16.7511,77.2917,77.2917,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.0166,57.55,0.05,0.09,0.86,39.81,0,0.03,0.003,0.344,0.0246,0.42,0.054,0,0,0,0,0,0,0,0,0,"PEROVSKITE"
"28","[7740] CHALAPATHI RAO N. V. (2004)","samp. PD2","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / PADIRIPAHAD KIMBERLITE",NA,16.8328,16.8328,77.2931,77.2931,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.03,58.08,0.23,0.026,0.95,40.29,0.008,0.03,0.008,0.1475,0.0247,0.33,0.04,0.00566666666666667,0.079,0,0,0.14,0,0.25,0,0.081,"PEROVSKITE"
"29","[7740] CHALAPATHI RAO N. V. (2004)","samp. PD2","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / MAHBUBNAGAR LARGE IGNEOUS PROVINCE / PADIRIPAHAD KIMBERLITE",NA,16.8328,16.8328,77.2931,77.2931,"subaerial",NA,NA,"KIMBERLITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.82,57.91,0,0.45,0.93,39.97,1.13,1.52,0.13,1.88,0.18,0.19,0.154,0.00566666666666667,0.14,0,0,1.889767,0,0,0,0.03,"PEROVSKITE"
"30","[7817] PASLICK C. R. (1996)","samp. MO93-1","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / MOSONIK",NA,-0.83,-0.83,35.1,35.1,"subaerial",NA,NA,"FOIDITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.01,55.34,0.02,2e-04,0.643838652189746,36.3,0,0.08,0.026,1.04,0.12,0.33,0.18,0.00566666666666667,0.017,0,0,0.02,0,0,0,0,"PEROVSKITE"
"31","[7817] PASLICK C. R. (1996)","samp. MO93-5","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / MOSONIK",NA,-0.83,-0.83,35.1,35.1,"subaerial",NA,NA,"FOIDITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.02,52.32,0.03,2e-04,1.34,34.4,0,0.12,0.1,1.5,0.06,0.7,0.25,0.00566666666666667,0.023,0,0,0,0,0,0,0.01,"PEROVSKITE"
"32","[7817] PASLICK C. R. (1996)","samp. MR93-2","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / MOSONIK",NA,-0.83,-0.83,35.1,35.1,"subaerial",NA,NA,"FOIDITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0,54.95,0.04,0.04,0.7579,33.05,0.01,0.09,0.42,1.57,0.08,0.19,0.25,0.003,0.048,0,0,0,0,0,0,0,"PEROVSKITE"
"33","[7981] HEISTER L. E. (2001)","samp. GU421564B","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / EAST GREENLAND","GRONAU WEST NUNATAK, ABOUT 200 KM NE OF KANGERLUSSUAQ",69,69,-30,-30,"subaerial",2565,2565,"BASALT, ALKALINE","APHYRIC",NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.42,55.65,0.09,0.1132,0.93,39.47,0.065,0.063,0.01,0.57,0.0247,0.42,0.046,0.003,0.045,0,0,0.19,0,0,0,0.1,"PEROVSKITE"
"34","[8031] NKOUMBOU C. (1995)","samp. C6","RIFT VOLCANICS","MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / SOUTHERN CAMEROON LINE / MOUNT ETINDE",NA,4.203,4.203,9.17,9.17,"subaerial",NA,NA,"NEPHELINITE, AENIGMATITE-LEUCITE","PORPHYRITIC MICROLITIC",NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.11,53.64,0.26,0.05,1.54,35.11,0.047,0,0.0735,0.65,0.019,0.42,0.153,0,0.004,0,0,0,0,0,0,0,"PEROVSKITE"
"35","[8054] PETERSON T. D. (1989)","samp. SH-49","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / SHOMBOLE","LAKE NATRON REGION",-2.08,-2.08,36.12,36.12,"subaerial",NA,NA,"NEPHELINITE, PEROVSKITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0,55.7,0.61,0.17,0.96,35.7,0.34,0.05,0.06,1.48,0.05,0.42,0,0,0.022,0,0,0,0,0,0,0.118,"PEROVSKITE"
"36","[8054] PETERSON T. D. (1989)","samp. SH-84","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / SHOMBOLE","LAKE NATRON REGION",-2.08,-2.08,36.12,36.12,"subaerial",NA,NA,"NEPHELINITE, PEROVSKITE-MELANITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0,56.15,0.68,0.195,1.2,37.14,0.38,0.05,0.038,0.98,0.05,0.33,0,0,0.02,0,0,0,0,0,0,0.65,"PEROVSKITE"
"37","[8172] CUNDARI A. (1991)","samp. 1","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / SAN VENANZO (VULSINI VOLCANIC DISTRICT)",NA,42.95,42.95,13.63,13.63,"subaerial",NA,NA,"MELILITITE, OLIVINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.18,55.6,0.34,0.47,1.5,37.7,0.18,0.12,0.13,0.28,0.1849,0.33,0.37,0,0.11,0,0,1.889767,0,0,0,0.25,"PEROVSKITE"
"38","[8172] CUNDARI A. (1991)","samp. 2","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / CUPAELLO",NA,42.4,42.4,12.85,12.85,"subaerial",NA,NA,"KALSILITITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.44,54.1,0.12,0,1.6,32.3,0.09,0,0.26,1.1,0.08,0.33,0.27,0.003,0,0,0,0,0,0,0,0.16,"PEROVSKITE"
"39","[8176] STOPPA F. (1995)","samp. COP-2","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / CUPAELLO",NA,42.4,42.4,12.85,12.85,"subaerial",NA,NA,"MELILITITE, KALSILITE","VESICULAR",NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.51,53.18,0.17,0.380967916666667,1.82,31.23,0.09,0,0.37,1.24,0.2,0.42,0.156,0.00566666666666667,0,0,0,0.11,0,0,0,0.24,"PEROVSKITE"
"40","[8176] STOPPA F. (1995)","samp. COP-1","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / CUPAELLO",NA,42.4,42.4,12.85,12.85,"subaerial",NA,NA,"MELILITITE, KALSILITE","INTERSERTAL GROUNDMASS",NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",9.77,41.66,1.42,0.1171,3.22,34.11,1.05,0.03,1.12,1.4,0.2,0.42,0.111,0.00566666666666667,0.0236,0,0,0,0,0,0,0.3,"PEROVSKITE"
"41","[8176] STOPPA F. (1995)","samp. COP-11","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / CUPAELLO",NA,42.4,42.4,12.85,12.85,"subaerial",NA,NA,"CARBONATITE","PORPHYRITIC TO EQUIGRANULAR LAPILLI IN A MICRO/CRYPTOCRYSTALLINE GROUNDMASS",NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",11.7,42.2,1.75,0.57,1.84,32.98,1.89,0,0.43,0.4,0.08,0.19,0.105,0.00566666666666667,0.025,0,0,1.889767,0,0,0,0.92,"PEROVSKITE"
"42","[8430] TURI B. (1968)","samp. POZZOLANE NERE","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI) / POZZOLANE NERE UNIT","CORCOLLE",41.92,41.92,12.77,12.77,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",1.99,49.42,0.98,0.0546666666666667,2.96,36.63,0,0.215387893081761,0.11,0.12,0.03,0.42,0.045,0.003,0.04,0,0,2.22334,0,0,0,0.63,"PEROVSKITE"
"43","[8606] BOCTOR N. Z. (1986)","samp. 18","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / WESTERN CAPE PROVINCE","BIESIESFONTEIN",-33.17,-33.17,22.93,22.93,"subaerial",NA,NA,"MELILITITE, OLIVINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.15,55.18,0.145,0.02,1.3535,38.43,0.09,0.00666666666666667,0.061,0.34,0,0.19,0,0.003,0,0,0,0.18,0,0,0,0.056,"PEROVSKITE"
"44","[8606] BOCTOR N. Z. (1986)","samp. 19","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / WESTERN CAPE PROVINCE","BIESIESFONTEIN",-33.17,-33.17,22.93,22.93,"subaerial",NA,NA,"MELILITITE, OLIVINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.11,54.77,0.18,0.4,1.131,38.93,0.04,0,0.024,0.35,0.0258,0.33,0.214,0,0,0,0,0,0,0,0,0,"PEROVSKITE"
"45","[8606] BOCTOR N. Z. (1986)","samp. 20","INTRAPLATE VOLCANICS","NAMAQUALAND NATAL BELT_MESOZOIC / SOUTH AFRICA / WESTERN CAPE PROVINCE","BIESIESFONTEIN",-33.17,-33.17,22.93,22.93,"subaerial",NA,NA,"MELILITITE, OLIVINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.14,55.84,0.07,0.03,0.94,39.47,0.06,0,0.033,0.38,0,0.42,0.134,0.00566666666666667,0.0198,0,0,0,0,0,0,0.01,"PEROVSKITE"
"46","[8620] DAWSON J. B. (1985)","samp. BD25B","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / LALARASI CONE",NA,-2.75,-2.75,36,36,"subaerial",NA,NA,"MELILITITE, OLIVINE",NA,NA,NA,NA,"PEROVSKITE",NA,"groundmass",NA,NA,"primary",0.19,56.1,0.07,0,0.93,38.4,0.06,0,0.02,0.44,0.0426,0.19,0.214,0.003,0.02,0,0,0.02,0,0,0,0.04,"PEROVSKITE"
"47","[8620] DAWSON J. B. (1985)","samp. BD105","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LOOLMURWAK",NA,-2.78,-2.78,35.98,35.98,"subaerial",NA,NA,"MELILITITE",NA,NA,NA,NA,"PEROVSKITE",NA,"groundmass",NA,NA,"primary",0.12,55.5,0.09,0,0.955,38.5,0.06,0,0.02,0.33,0.0265,0.42,0.271,0,0.018,0,0,0.14,0,0,0,0.03,"PEROVSKITE"
"48","[8620] DAWSON J. B. (1985)","samp. JG958","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / ARMYKON HILL","SOUTHERN SHORE OF LAKE NATRON, 15 KM NW OF THE LARASI FLOW",-2.58,-2.58,35.93,35.93,"subaerial",NA,NA,"MELILITITE",NA,NA,NA,NA,"PEROVSKITE",NA,"groundmass",NA,NA,"primary",0,56.4,0,0,0.684167672373332,40.6,0.03,0.04,0,0.41,0.12,0.19,0,0,0.079,0,0,0,0,0.12,0,0.02,"PEROVSKITE"
