SAMPLE	MINERAL	GROUP	   Au    	   Pt    	   W     	   As    	   Se    	   Cu    	   Ni    	   Mn    	   Sb    	   Pb    	   S     	   Zn    	   Co    	   Fe    	   Te    	   Cd    	   Ag    	   Bi    	   Hg    
JB-0905-16_C1_Sulf-1-1 	PYRITE	SULFIDE	0.007	0	0.021	0.031	0.006	0.186	0.038	0	0	0	52.49	0.039	0.151	45.467	0	0.198	0	0	0
JB-0905-16_C1_Sulf-1-2 	PYRITE	SULFIDE	0.026	0	0	0.002	0.002	0.231	0.133	0	0	0	51.923	0.08	0.152	45.91	0.046	0.302	0	0	0
JB-0905-16_C1_Sulf-1-3 	PYRITE	SULFIDE	0	0	0.026	0.016	0.014	0.184	0.04	0	0	0	51.319	0.012	0	46.512	0.008	0.528	0	0	0
JB-0905-16_C1_Sulf-1-4 	PYRITE	SULFIDE	0	0	0.005	0.031	0	0.101	0.124	0	0	0	50.545	0	0	46.037	0	0.456	0	0	0
JB-0905-16_C1_Sulf-1-5 	PYRITE	SULFIDE	0.053	0	0.013	0.127	0.015	0.007	0.026	0	0.02	0	51.156	0.043	0	46.459	0.062	0.434	0	0	0
JB-0905-16_C1_Sulf-1-6 	PYRITE	SULFIDE	0	0	0.025	0.001	0.002	0.1	0.212	0	0	0	50.237	0	0	46.408	0.036	0.737	0	0	0
JB-0905-16_C1_Sulf-2-1 	PYRITE	SULFIDE	0	0	0	0.034	0.004	0	0	0	0	0	51.583	0	0.529	46.409	0.01	0.105	0	0	0
JB-0905-16_C1_Sulf-2-2 	PYRITE	SULFIDE	0	0	0	0.027	0	0.052	0	0	0	0	51.369	0.042	0.47	46.676	0	0.06	0	0	0
JB-0905-16_C1_Sulf-2-3 	PYRITE	SULFIDE	0	0	0	0.029	0.014	0	0.038	0	0	0	51.276	0.085	0.46	46.922	0	0.151	0	0	0
JB-0905-16_C2_Sulf-1-1 	PYRITE	SULFIDE	0	0	0	0.027	0	0.113	0.18	0	0.025	0	50.694	0.047	0	46.532	0	0.779	0	0	0
