"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"741","41775","samp. OKA109","CARBONATE","CALCITE","CARBONATITE, CALCIO",0,0,0,0.09,0.25,52.62,0.33,0.7,0,0.02,0.015,0,0,0,0,0,0,0,0,0,0.04,0,54.065
"742","41776","samp. OKA119","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.09,0.008,0.02,0,0.02,54.18,0.24,0.21,0.01,0.0588,0.22,0,0.17,0.04,0.0105,0,0,0,0,0.14,0.015,0,55.4323
"743","41777","samp. OKA137","CARBONATE","CALCITE","OKAITE",0.18,0.002,0,0,0,53.81,0.02,0.05,0,0.021,0.032,0,0,0,0,0,0,0,0,0.01,0.18,0,54.305
"744","41778","samp. OKA138","CARBONATE","CALCITE","OKAITE",0.025,0,0.01,0.09,0.04,53.49,0.06,0.08,0.04,0,0.25,0,0.2111,0,0,0,0,0,0,0.01,0.18,0,54.4861
"745","41779","samp. OKA229","CARBONATE","CALCITE","OKAITE",0.0228,0,0.01,0,0.01,53.09,0.03,0.11,0,0.07,0,0,0,0,0.03,0,0,0,0,0.01,0.01,0,53.3928
"746","41780","samp. OKA200A","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.37,0.03479175,0.1092382,0.09,0.06,52.54,0.54,0.5,0.11,0.06,0,0,0,0,0.015,0,0,0,0,0.01,0.18,0,54.61902995
"747","41781","samp. OKA200B","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.06,0,0.01,0,0.05,53.81,0.1,0.24,0.029,0,0.01,0,0,0,0,0,0,0,0,0.14,0.015,0,54.464
"748","41782","samp. OKA200C","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.1,0.025,0.02,0.011,0.07,53.12,0.49,0.46,0.01,0,0.01,0,0,0,0.03,0,0,0.01,0,0.01,0.18,0,54.546
"749","41783","samp. OKA21","CARBONATE","CALCITE","IJOLITE, MELANITE",0,0,0,0,0.05,53.86,0.06,0.18,0,0.014,0.01,0,0,0,0,0,0,0.05,0,0,0.01,0,54.234
"750","41784","samp. OKA31","CARBONATE","CALCITE","IJOLITE, MELANITE",0,0,0.01,0,0.02,54.83,0.02,0.12,0.011,0,0,0,0,0,0,0,0,0.01,0,0.14,0.18,0,55.341
