"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"217","45129","samp. 7","CLAY","SAPONITE","BASALT, THOLEIITIC",45.93,0.17,6.73,0,9.27,2.41,14.75,0.1,0.32,0.29,0.02,11.31,0,0.07,0.34,0,0,0,0,0,0,0
"218","45130","samp. 90","CLAY","SAPONITE","BASALT, THOLEIITIC",33.9,0.07,10,0.01,24.33,1.95,12.22,0.15,0.51,0.28,0,20.9,0,0.2,0.05,0,0,0,0,0,0,0
"219","45131","samp. 91","CLAY","SAPONITE","BASALT, THOLEIITIC",32.38,0,9.96,0.02,22.33,1.57,13.04,0.04,0.47,0.33,0.08,20.9,0,0.07,0.12,0,0,0,0,0,0,0
"220","45132","samp. 97","CLAY","SAPONITE","BASALT, THOLEIITIC",35.11,0.06,10.56,0.03,32.2,1.72,12.91,0.02,0.34,0.18,0.05,21.4,0,0.08,0.1,0,0,0,0,0,0,0
"221","45133","samp. 107","CLAY","SAPONITE","BASALT, THOLEIITIC",36.79,0.04,9.85,0.01,22.9,1.5,12.16,0.09,0.49,0.24,0.06,20.9,0,0.2,0,0,0,0,0,0,0,0
"222","45134","samp. 109","CLAY","SAPONITE","BASALT, THOLEIITIC",29.95,0.04,11.28,0,24.26,1.28,12.22,0.18,0.71,0.43,0.29,21.4,0,0.08,0.02,0,0,0,0,0,0,0
"223","45135","samp. 119","CLAY","SAPONITE","BASALT, THOLEIITIC",38.9,0.02,8.22,0,10.61,3.1,14.7,0.04,0.2,0.11,0.05,16.99,0,0.07,0.03,0,0,0,0,0,0,0
"224","45136","samp. 121","CLAY","SAPONITE","BASALT, THOLEIITIC",42.27,0.07,7.64,0,15.26,2.64,16.26,0.16,0.92,0.12,0.06,16.99,0,0.07,0.27,0,0,0,0,0,0,0
"225","45137","samp. 127","CLAY","SAPONITE","BASALT, THOLEIITIC",37.86,0,7.92,0.06,18.5,2.71,16.33,0.37,0.31,0.07,0.09,21.4,0,0.2,0,0,0,0,0,0,0,0
"226","45138","samp. 2","CLAY","KAOLINITE","BASALT, THOLEIITIC",25.54,0,7.78,0,22.9,2.19,7.03,0,0.09,0.02,0.23,12.67,0,0.08,0.05,0,0,0,0,0,0,0
"227","45139","samp. 3","CLAY","MONTMORILLONITE","BASALT, THOLEIITIC",27.7,0,8.26,0,32.2,2.59,7.29,0.13,0.08,0.01,0.11,20.9,0,0.08,0.09,0,0,0,0,0,0,0
"228","45140","samp. 19","CLAY","BEIDELLITE","BASALT, THOLEIITIC",29.97,0.06,8.15,0.05,20.52,2.58,7.7,0.21,0.04,0.13,0.28,18.6,0,0.07,0,0,0,0,0,0,0,0
"229","45141","samp. 82","CLAY","MONTMORILLONITE","BASALT, THOLEIITIC",49.85,0.27,10.22,0,21.5,0.64,4.19,0.2,7.97,0.21,0.08,14.43,0,0.2,0.2,0,0,0,0,0,0,0
"230","45142","samp. 54","CLAY","MONTMORILLONITE","BASALT, THOLEIITIC",48.45,0.56,8.03,0.11,8.5,0.66,4.23,0,7.69,0.27,0.06,7.75,0,0.2,0.36,0,0,0,0,0,0,0
"231","45143","samp. 55","CLAY","MONTMORILLONITE","BASALT, THOLEIITIC",49.37,0.48,7.63,0.17,10.61,0.51,4.11,0,8.11,0.16,0,20.9,0,0.07,0.19,0,0,0,0,0,0,0
"232","45144","samp. 56","CLAY","MONTMORILLONITE","BASALT, THOLEIITIC",49.04,0.32,9.34,0,7.5,0.42,4.23,0,7.47,0.17,0.18,28.05,0,0.07,0.23,0,0,0,0,0,0,0
"233","45145","samp. 57","CLAY","MONTMORILLONITE","BASALT, THOLEIITIC",49.05,0.47,9.38,0,16.24,0.51,4.46,0.05,7.11,0.04,0,7.75,0,0.2,0.01,0,0,0,0,0,0,0
"234","45146","samp. 58","CLAY","MONTMORILLONITE","BASALT, THOLEIITIC",49.98,0.34,8.92,0.07,14.6,0.44,4.62,0,7.52,0.09,0.06,17.54,0,0.08,0,0,0,0,0,0,0,0
"235","45147","samp. 34","CLAY","SAPONITE","BASALT, THOLEIITIC",39.57,0.05,8.48,0.01,16.4,2.77,16.24,0.08,0.39,0.08,0,12.67,0,0.08,0.07,0,0,0,0,0,0,0
"236","45148","samp. 36","CLAY","SAPONITE","BASALT, THOLEIITIC",37.83,0.05,8.33,0,18.38,2.66,14.46,0.14,0.06,0.09,0.06,28.05,0,0.08,0.02,0,0,0,0,0,0,0
"237","45149","samp. 40","CLAY","SAPONITE","BASALT, THOLEIITIC",37.89,0,7.34,0,18.38,2.55,15.42,0.01,0.18,0.13,0.05,20.9,0,0.2,0.05,0,0,0,0,0,0,0
"238","45150","samp. 41","CLAY","SAPONITE","BASALT, THOLEIITIC",37.28,0.07,8.08,0.02,14.85,2.59,15.11,0.21,0.14,0.05,0.19,21.4,0,0.08,0.02,0,0,0,0,0,0,0
"239","45151","samp. 42","CLAY","SAPONITE","BASALT, THOLEIITIC",35.91,0.05,8.57,0,12.77,2.68,14.84,0.04,0.09,0.08,0.06,21.4,0,0.2,0,0,0,0,0,0,0,0
"240","45152","samp. 51","CLAY","SAPONITE","BASALT, THOLEIITIC",36.41,0,8.11,0.02,14.49,2.88,15.04,0,0.15,0.05,0.06,16.99,0,0.08,0,0,0,0,0,0,0,0
"241","45153","samp. 52","CLAY","SAPONITE","BASALT, THOLEIITIC",39.22,0.04,7.85,0,14.6,2.49,16.19,0.1,0.26,0.04,0.03,20.9,0,0.07,0.01,0,0,0,0,0,0,0
