SAMPLE NAME,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,FeOT,CaO,MgO,MnO,K2O,Na2O,F,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
samp. WSX-1,"LHERZOLITE, SPINEL, XENOLITH",PHLOGOPITE,39.7,1.73,17.45,1.69,4.16,0.27,21.62,0.02,6.64,0.53,0.37,0.414204396029062,0.9104727593303414,1.7764935138070352,0.9113673370527479,2.316211248157676,0.38633049340116554,-0.5814432482397349,-0.8175203694986767,0.8009925809250829,1.1712632504662874,-0.12532940854664448
samp. MG91-144.1,"DUNITE, XENOLITH",PHLOGOPITE,38.52,4.33,15.45,0.23,5.36,0,20.91,0.02,8.77,1.02,0.13,-0.08489984485351898,0.790144089313533,0.30811671870214485,0.14172234244617796,0.4986954698371913,0.9670857187784864,0.031337712625666814,-0.9969081790011451,-1.0811100047715574,-0.1922640254513559,-0.06039218903609513
samp. MG91-144.1,"DUNITE, XENOLITH",PHLOGOPITE,39.7,4.41,15.55,0.47,5.55,0.04,21.3,0,8.67,1,0.12,0.10291748545089122,0.8012226815233741,0.35986101362634115,0.05759859533882303,0.7478402269845892,0.8542664177776391,-0.24224396192442715,-1.100635379422353,-0.9963192827990954,0.07304638266738193,-0.20096666215139697
samp. ARC83-01,"DUNITE, XENOLITH",PHLOGOPITE,39.45,4.46,15.49,0.44,5.46,0,20.78,0.04,8.65,1.06,0.13,0.02010944584503177,0.8841251707926328,0.3344914763706235,9.321922965316032e-4,0.7464273018875028,0.9170333829285572,-0.18987786441118606,-1.1264775673963978,-1.0124137092134609,0.017871185818266355,-0.1294688793976383
samp. ARC83-01,"DUNITE, XENOLITH",PHLOGOPITE,39.6,4.6,16.04,0.37,5.61,0.03,21.01,0.02,8.43,0.93,0.1,-0.07757622102074196,0.7998320148611243,0.3981945721650286,0.16047902131009828,0.6656072799589495,0.9288790566817734,-0.1798793815439568,-0.9731108089946906,-1.060122879202468,0.2507971219233295,-0.21870475201891185
samp. MG91-143.2,"DUNITE, XENOLITH",PHLOGOPITE,37.9,6.14,13.51,0,11.07,12.22,12,0.15,1.24,2.61,0.06,-4.319845483574954,8.520179867469453,8.11482326957842,2.2047003017164575,-3.616713796315372,-3.7416193847227013,-6.419845461704778,-1.3540645337171924,-2.016310337058361,-0.4928228473983022,-0.2201155039166255
samp. OB-93-05,NOT GIVEN,MICA,37.86,4.97,16.02,1.86,4.1,0.02,20.38,0.01,9.38,0.76,0.23,0.5191768022073485,0.705800802157365,-0.12211065075737951,0.42870119004292195,2.8953781304859256,-0.11481579705320467,-0.8657275036508179,-1.0179562325166498,-0.6423033910279876,-0.16806158952465827,-0.04586478785403487
samp. GM-92-468,"DUNITE, XENOLITH",MICA,38.72,4.26,15.23,2.03,4.32,0.04,21.15,0,9.09,0.96,0.51,0.816542343204567,1.036351936679785,0.10185154563874418,0.21069175484716968,2.935662772381999,-0.029512679845514964,-0.9889882787218741,-1.2634534862068538,-0.20159073940351319,-0.14796513341898118,-0.08753720871525711
samp. GM92-163,"DUNITE, XENOLITH",MICA,38.92,3.12,15.88,0.37,3.89,0.03,22.09,0.04,8.46,1.33,0.21,0.2197635827932586,1.10061970869477,0.9021393542811961,-0.050903907583420685,0.669165743079561,1.2987804166753636,0.03758524787813265,-1.2909025911142178,-0.7234007775494868,-0.38983144788610413,-0.049920717754491035
samp. GM-92-434,CLINOPYROXENITE,MICA,37.81,8.85,15.76,0.4,5.38,0.01,17.98,0.03,9.37,0.66,0.33,-0.6534905382776849,0.966254276673259,-1.2461915172284965,0.4339757357555542,1.044889231257186,0.41153256688040596,-0.5552140620500094,-0.3847913835235876,-2.406017852497536,0.2745211270632086,-0.10460978197380655
samp. ARC83-08,"DUNITE, XENOLITH",MICA,36.58,7.28,15.5,0.12,11.63,0,14.81,0.03,9.32,0.5,0.32,-1.3777514781253353,0.41129246968567407,-1.1552191640227154,0.3626933793283996,0.47214557594380285,0.2551934673434488,-0.3019170257774134,-0.25888677360997037,-1.5441277673872178,0.016487301878942193,-0.07092948989948555
samp. ARC93-09,"CLINOPYROXENITE, XENOLITH",MICA,36.33,7.21,15.71,0.05,11.62,0,14.95,0.03,9.62,0.57,0.37,-1.3532777825915807,0.36512540733031323,-1.1968078630031271,0.2655289156040716,0.4141155987618707,0.32190612966562054,-0.2703206001028776,-0.24171725610649686,-1.6283365761209534,-0.2573318607428315,-0.08986963056095815
samp. MG-91-135,"CLINOPYROXENITE, XENOLITH",MICA,36.74,8.48,15.67,0.05,10.54,0,15.31,0,10.05,0.46,0.35,-1.236202912831847,0.28716822520546925,-1.6309189131551414,0.30230214536235234,0.48483722936898344,0.1774517969909346,-0.4284721134486118,-0.10404757293781991,-2.1956161464507353,-0.15851103916544718,-0.14783232111045802
samp. MG-91-60,CLINOPYROXENITE,MICA,35.88,5.13,14.56,0.06,15.35,0.04,13.92,0.35,9.18,0.77,0.24,-1.6226712855116925,0.45663743381390837,-0.6142804610619161,-0.11034939913517368,0.21386805295972314,0.18584462112328143,0.10415925396404184,-0.6336988486303458,-0.6691595725217745,-0.48622344486824215,-0.04112134381072366
samp. MG-91-73,CLINOPYROXENITE,MICA,36.67,5.23,14.8,0.01,15.6,0.02,13.95,0.64,9.05,0.88,0.25,-1.6760403895658618,0.6377804509997678,-0.49181758717436985,-0.4615819560532743,0.18991439500270546,0.23669878305553121,0.20225175172639598,-0.6747904378995013,-0.7606424217153956,-0.3507652344468474,-0.161922659115191
samp. GM-92-211,GLIMMERITE,MICA,36.93,8.23,15.52,0.11,10.92,0.02,14.89,0.05,9.51,0.64,0.35,-1.3610126668138849,0.6512880231712639,-1.3903813091318924,0.2104369822772419,0.5185049150408135,0.32703080082191216,-0.45370639176161387,-0.3373985728745848,-1.9574292966943312,-0.026812869016673527,-0.123636822231662
samp. TRI4,GLIMMERITE,MICA,36.27,8.24,15.33,0.11,10.36,0,14.68,0.11,9.24,0.54,0.32,-1.462217123424413,0.7026207561954758,-1.351665183516346,0.42060718047694023,0.5632337889522471,0.2576037338741206,-0.29011672045619163,-0.2344485524149726,-1.9071973797855173,0.11543703738245555,-0.0018965126391530876
samp. AGL91-29,LAMPROPHYRE,MICA,35.89,9.74,15.04,0.47,8.87,0,15.39,0,9.62,0.38,0.4,-1.2343976056420585,0.7686607918247832,-1.9327897449258695,0.729136180454368,1.1432461285777,-0.09707840759590797,-0.5923860383808323,-0.11086862007425563,-2.310248009466019,0.20642272606710438,-0.025371958431034076
samp. AGL91-29,LAMPROPHYRE,MICA,34.81,10.32,15.19,0.16,13.38,0.08,11.63,0.17,8.45,0.73,0.73,-2.4035267995730094,1.6672603769718377,-1.9183310009411347,0.5228392850044512,0.6925006540971342,0.29977819434293246,-0.5684920946789709,-0.1954077371217561,-1.996600453977432,0.35464531411607264,-0.033302393099519934
samp. OB-93-214,"HARZBURGITE, XENOLITH",MICA,36,7.68,16.03,0.08,9.94,0.04,16,0.04,9.48,0.63,0.39,-1.2892186186287862,0.6312350554784457,-1.1694928037980732,0.4179707424882352,0.5507958602976533,0.4137999830201,-0.2548755342025541,-0.23034650372294452,-1.865282979218325,-0.24266634246907823,-0.1097625031243468
samp. MG-91-91,NOT GIVEN,MICA,36.66,9.14,14.36,0.28,9.68,0,15.25,0.03,9.17,0.53,0.33,-1.3022272870140117,0.9374712980644441,-1.6489716977857414,0.5355341194598877,0.7301579139524568,0.1089283936067911,-0.48338915077882616,-0.36390664479550805,-2.084700722030608,0.3549867669225691,-0.004567823395327762
samp. AY-506A,NOT GIVEN,PHLOGOPITE,38.03,5.12,12.18,0.01,6.82,0.06,20.22,0.16,9.17,0.7,5.2,0.766940310231194,2.0854815725070583,-1.28330101313649,-0.3128033983890676,-0.393714057231487,0.8157301093252612,-0.3215690904807291,1.7076732627985096,0.0353007506082772,-0.4537517850810472,-0.05964496305937632
samp. AY-506C,NOT GIVEN,PHLOGOPITE,37.55,6.09,11.82,0.04,9.09,0.04,20.53,0.16,9.11,0.77,4.15,0.3041876838883538,2.0462680706618483,-1.474162364506805,-0.1453015372650044,-0.29255465556512095,0.6171766884736103,-0.25382903932522005,1.044807192851238,-0.3391251519649412,-0.3626377701796418,-0.24962068275354385
samp. AY-506D,NOT GIVEN,PHLOGOPITE,41.68,3.17,11.83,0.07,5.27,0.06,23.34,0.18,9.52,1.17,6.07,1.9636605504276499,2.3192278647112676,-0.7100602194192583,-1.3216552189307404,-0.6490196838543811,1.3143189723141515,-0.5909919596615876,1.4882156862527702,0.5387223455932539,-0.7656675800687627,-0.32670456456559405
samp. AY-506E,NOT GIVEN,PHLOGOPITE,37.2,4.18,14.28,0.02,6.35,0.1,20.68,0.21,9,0.88,5.4,0.6818542114958495,2.2065245019889144,-0.7797943543560409,-0.341047757297024,-0.20205518947193912,1.2005568113172322,-0.22987640556887162,1.826858695538105,0.2760104536083048,-0.8254932172971159,-0.15992976263294686
samp. AY-505,"TRACHYANDESITE, BASALTIC",PHLOGOPITE,39.53,6.84,12.61,0.04,6.02,0.11,20.38,0.07,8.91,0.95,3.2,0.3611027339957229,2.0576538489332985,-1.1519378265554878,-0.26877683233707494,-0.18251728824301994,0.880995965251828,-0.5381020177509128,0.45854807673996445,-1.0654591667743896,0.04471918835253355,-0.17573464420712556
samp. AY-506,"MINETTE, AUGITE",PHLOGOPITE,40.32,4.33,12.11,0.17,5.89,0.01,22.09,0.3,9.51,0.88,5.2,1.415378977417868,2.0053219269204385,-0.992888986249281,-0.8891884248695942,-0.2712615462372092,0.8696648499021818,-0.4223514905091996,1.4236701424032492,0.10741289170036217,-0.4829761000738214,-0.25699369970070157
samp. AY-507,"MINETTE, AUGITE",PHLOGOPITE,39.6,2.24,13.69,0.22,5.96,0.11,23.64,0.07,9,0.96,4.24,1.3257715231009741,1.621705386265094,0.03175833366800085,-0.47984802248869807,-0.1748004092195757,1.1309041324228903,-0.21874114552619717,0.8748524130940607,0.5886260396315215,-0.6823909434366096,-0.30794991913598263
samp. TAP-04,"MINETTE, OLIVINE",PHLOGOPITE,39.67,2.66,13.74,0.79,5.9,0.01,22.33,0.03,10.18,0.22,1.4,1.2083969475718122,-0.32903444174842783,-0.12046038966642032,0.08360721719413744,0.8679841654265246,-0.18215347865918946,-0.2021188313196811,0.08537322281920495,-0.15432188553563309,-0.29225993908650644,-0.09901948454380657
samp. TAP-08,"MINETTE, OLIVINE",PHLOGOPITE,39.76,2.97,12.8,0.45,5.8,0.2,22.68,0.05,9.35,0.67,4.73,1.5234072391483031,1.5277553394124586,-0.4522163017871986,-0.3940663670915116,0.03975780887596872,0.6355043314019296,-0.5239103349974537,1.3137454332218805,0.5753266461059641,-0.5135088945805666,-0.20983651383336652
samp. B-TR1-1,GABBRO,PHLOGOPITE,37.16,2.56,16.13,0.08,10.11,0.03,19.68,0.02,7.53,2.21,0.18,-0.9277289444378884,2.137152234538685,1.1825785278690237,-0.4939292903111564,0.21525968508884008,2.1226503347941548,0.12210840366913858,-2.1684013769860417,-0.09922824083126025,-1.0555872729066946,-0.20867881251241505
samp. K-TR2-6,GABBRO,PHLOGOPITE,38.92,1.05,16.46,0.33,9.04,0.02,21.55,0.08,5.7,3.36,0.06,-0.817123522660147,3.760574055529388,2.473933222816327,-1.1283599662756933,0.4404208615713976,3.2991815166632144,-0.008562296563177835,-3.572742166671849,0.619616087782674,-0.9815554107479431,-0.35216759440131395
samp. A-VI-6-1P,GABBRO,PHLOGOPITE,39.4,4.05,13.27,0.05,12.09,0.01,18.09,0.09,8.51,1.24,0.16,-0.6459325225263536,0.9735807039356703,0.0829621776715658,-0.44389592709599424,-0.15305325258275182,0.8445237618903707,-0.07276068280330797,-1.468748936466572,-0.49980170196785223,-0.13365114467917383,-0.16462758943294029
samp. E-I-3P,GABBRO,PHLOGOPITE,36.87,0.73,16.18,0.12,9.23,0.04,21.17,0.09,8.25,1.92,0,-0.4302347041336897,1.2948154293307235,1.5397178122529531,-0.43125872454485575,0.24593803026682842,1.7723900770361753,0.45447812331423676,-1.950672199228584,0.2126744452315114,-1.433705788542465,-0.1396634593226282
samp. Y-V-1P,GABBRO,PHLOGOPITE,36.9,1.3,16.11,0.29,10.63,0.02,19.65,0.08,8.98,1.13,0,-0.41498527501154936,0.24940082495714994,0.9387814817916871,-0.09054128445116788,0.4672391804780235,0.8999676785568494,0.3250297298564563,-1.2034830829369674,0.1450111775178511,-1.039470645242977,-0.12328225216694583
samp. W-V-5P,GABBRO,PHLOGOPITE,36.42,4.78,14.63,0.08,11.21,0,17.63,0.18,8.63,1.36,0,-1.1265131661991383,1.2297241982376956,-0.05006601360801996,-0.11498675292838262,0.28220800551772884,0.9411571904658605,0.159842492847665,-1.3898685489794416,-0.8405511227045788,-0.6595189824737913,-0.07300683946741499
samp. A-VI-2-1V,GABBRO,PHLOGOPITE,38.77,3.7,13.9,0.04,12.69,0.01,17.82,0.17,8.54,1.23,0.1,-0.8004322070576456,0.874375834411859,0.2037449817687181,-0.43506903317206735,-0.08677415177666772,0.8411332418828003,0.04919927777908112,-1.4074470200520661,-0.4017176817580913,-0.2834375402846669,-0.18759691975547285
samp. W-IV-6V,GABBRO,PHLOGOPITE,37.08,5.11,13.83,0.06,10.76,0.11,17.86,0.09,8.26,1.21,0.38,-0.9931678257237466,1.405956449574465,-0.1255089751900333,0.056584704473927466,0.07750520922429545,0.8478473793479508,0.0052330426326992335,-1.1527244140837867,-0.7727627864748597,-0.25425490834431036,-0.04933339233265882
