"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","GROUP"
"13","[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE",NA,28,28.6,-16.1,-16.9,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.15,1.416,0.07601593,0.016,0.23,48.4,0.093,0.02,0.119,1.38,37.9,0,4.48,0.0406,"APATITE"
"14","[1112] MACDONALD R. (1990)","samp. HSK26","OCEAN ISLAND","ICELAND / ICELAND / TORFAJ<d6>KULL / EASTERN ICELAND RIFT ZONE","HRAFNTINNUSKER",63.9,63.9,-18.97,-18.97,"subaerial",NA,NA,"RHYOLITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",3.66,0.12,0.17,0.053,0.27,49.96,0.29,0.129,0.237,0.141,38.12,0.205407356307784,2.871,0.36,"APATITE"
"15","[1321] IMSLAND P. (1984)","samp. JAN168","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRACHYTE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.97,0.9,1.26,0.055,0.79,49.83,0.23,0.25,0.0877,0.162,38.45,0.735361094076811,1.34,0.43,"APATITE"
"16","[1321] IMSLAND P. (1984)","samp. JAN175","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRISTANITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.56,0.00939764072219626,0.05,0.02,0.28,49.87,0.06,0.26,0.055,0.09,39.04,0.15223694725406,3.39,0.09,"APATITE"
"17","[1321] IMSLAND P. (1984)","samp. JAN37","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRISTANITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.34,0.08,0.164,0.019,0.52,51.51,0.29,0.1,0.34,0.389,39.88,0.701786080533907,1.7,0.38,"APATITE"
"18","[1321] IMSLAND P. (1984)","samp. JAN70","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRISTANITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.24,0.00904703069816713,0.017,0.011,0.4,52.14,0.29,0.1,0.011,0.53,42.54,1.10798777973055,0.91,0.33,"APATITE"
"19","[1321] IMSLAND P. (1984)","samp. JAN89","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRISTANITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.26,0.05,0,0,0.35,52.14,0.24,0.11,0,0.18,40.08,0.374626305548134,2.53,0.34,"APATITE"
"20","[1321] IMSLAND P. (1984)","samp. JAN52","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE","PORPHYRITIC",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.24,0,0.03,0,1.11,53,0.54,0.13,0.026,0.48,41.11,0.724078947349938,1.68,0.27,"APATITE"
"21","[1321] IMSLAND P. (1984)","samp. JAN69","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE","PORPHYRITIC",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.17,0.027,0.05,0,1.03,52.01,0.34,0.14,0.04,0.184,40.51,0.484599842974749,2.46,0.3,"APATITE"
"22","[1321] IMSLAND P. (1984)","samp. JAN324","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"SYENITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.6,0,0.09,0,0.22,50.54,0.14,0.29,0.003,0.44,40.11,0.255719938948549,3.28,0.4,"APATITE"
"23","[1321] IMSLAND P. (1984)","samp. JAN324","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"SYENITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.9,0.9,1.98639,0.14,7.83,45.28,0.3,0.39,0.02,1.73,35.44,0.405458830563719,2.9,0.31,"APATITE"
"24","[1321] IMSLAND P. (1984)","samp. JAN329","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.25,0,0.004,0,0.22,55.35,0.1,0.12,0,0.062,41.77,0.941723711822647,0.93,0.48,"APATITE"
"25","[1321] IMSLAND P. (1984)","samp. JAN329","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.24,0,0.000419031481428975,0,0.35,55.34,0.09,0.07,0,0.04,41.71,0.983028711177482,1.21,0.47,"APATITE"
"26","[1321] IMSLAND P. (1984)","samp. JAN329","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.25,0,0,0,0.22,53.52,0.08,0.14,0.09,0.05,40.75,0.751414650746057,1.42,0.93,"APATITE"
"27","[1321] IMSLAND P. (1984)","samp. JAN329","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.27,0.0125508005682956,0,0,0.34,53.75,0.11,0.1,0.024,0.126,41.49,0.806417798189744,1.23,0.72,"APATITE"
"28","[1343] BAXTER A. N. (1985)","samp. 7","OCEAN ISLAND","MASCARENE ISLANDS INCL. REUNION / RODRIGUES",NA,-19.7,-19.7,63.42,63.42,"subaerial",NA,NA,"MEGACRYST, APATITE, XENOLITH",NA,NA,NA,"fresh","APATITE",NA,"macrocryst",NA,NA,"primary",0.218,0.09,0.01,0.019,0.166,53.14,0.13,0.335,0.0065,0.45,40.88,0.58,1.47,0.89,"APATITE"
"29","[1357] FODOR R. V. (1977)","samp. 16","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / WAIANAE / WAIANAE SERIES","KAUAOPUU RIDGE",21.43,21.43,-158.18,-158.18,"subaerial",NA,NA,"MEGACRYST, CLINOPYROXENE, XENOLITH",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.401,0,0.0228,0,0.07,53.9,0,0.176,0,0.193,39.5,0.137060101834717,3.355,0.21,"APATITE"
"30","[1498] MARQUES L. S. (1999)","samp. TR-108","OCEAN ISLAND","TRINDADE-VITORIA RISE / TRINDADE",NA,-20.5,-20.5,-29.3,-29.3,"subaerial",NA,NA,"ESSEXITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.38,0,0.11,0.02,0.03,56.54,0.022,0.0716,0.026576,0.02,42.97,0.600044034264797,2.39,0.18,"APATITE"
"31","[1612] SCHANDL E. S. (1990)","samp. 113-690C-24X42-46","OCEANIC PLATEAU","MAUD RISE / MAUD RISE / SITE 690","HOLE 690C",-65.1604,-65.1604,1.2048,1.2048,"subaquatic",-2925,-2925,"BASALT, ALKALINE","VESICULAR, PHYRIC",NA,NA,NA,"APATITE",NA,"xenocryst",NA,NA,"primary",1.35,7e-04,0.7543166,0,0.76,55.55,0.105,0.05,0.146,0.23,37.86,0.312096915344792,3.08457,0.61,"APATITE"
"32","[1612] SCHANDL E. S. (1990)","samp. 113-690C-24X42-46","OCEANIC PLATEAU","MAUD RISE / MAUD RISE / SITE 690","HOLE 690C",-65.1604,-65.1604,1.2048,1.2048,"subaquatic",-2925,-2925,"BASALT, ALKALINE","VESICULAR, PHYRIC",NA,NA,NA,"APATITE",NA,"xenocryst",NA,NA,"primary",0.247,0,0.1930469,0.055,0,55.86,0.015,0.226,0,0.08,38.95,0.223930514707242,4.06,0.36,"APATITE"
"33","[1612] SCHANDL E. S. (1990)","samp. 113-690C-24X42-46","OCEANIC PLATEAU","MAUD RISE / MAUD RISE / SITE 690","HOLE 690C",-65.1604,-65.1604,1.2048,1.2048,"subaquatic",-2925,-2925,"BASALT, ALKALINE","VESICULAR, PHYRIC",NA,NA,NA,"APATITE",NA,"groundmass",NA,NA,"primary",1.52,0.003,0,0.0373,0,53.69,0,0.184380816216532,0.08,0.11,39.7,0.371644573974332,2.65,0.1,"APATITE"
"34","[2390] MEIJER A. (1983)","samp. ANDESITE","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / SANKAKUYAMA FORMATION",NA,15.2,15.2,145.72,145.72,"subaerial",NA,NA,"ANDESITE",NA,NA,NA,NA,"APATITE",NA,"phenocryst",NA,NA,"primary",0.19,0,0,0.014,0.34,54.79,0.28,0.19,0,0.08,40.63,-0.167078227357734,4.6994,0.54,"APATITE"
"35","[2738] VILADKAR S. G. (1992)","samp. 1","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.6015,0.04,0.03,0.06,0.116011595764467,54.43,0.026,0.2,0.004538,0.06,41.47,0.333453274967551,2.59,0.6138,"APATITE"
"36","[2738] VILADKAR S. G. (1992)","samp. 2","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.73,0,0,0,0.1466,54.17,0,0,0.019,0.06,39.65,0.889499696674871,1.83,0.006,"APATITE"
"37","[2738] VILADKAR S. G. (1992)","samp. 3","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.14,0,0,0.003,0.064,56.82,0.013,0.19,0,0.16,41.1,0.223691404183292,3.262,0.11,"APATITE"
"38","[2738] VILADKAR S. G. (1992)","samp. 4","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.15,0,0.012,0,0.06,57.43,0,0.022,0,0.16,41.54,0.455838608032772,2.65,0.35,"APATITE"
"39","[2738] VILADKAR S. G. (1992)","samp. 5","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.29,0,0.02,0,0.00681834300129286,56.82,0,0,0,0.02,41.18,0.668143059958961,2.0225,0.006,"APATITE"
"40","[2738] VILADKAR S. G. (1992)","samp. 6","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.1,0.317,0.183,0.108,0.17,56.3,0.002,0.51,0.01,0.31,40.47,0.931569491220286,1,1.49,"APATITE"
"41","[2738] VILADKAR S. G. (1992)","samp. 7","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.33,0,0.00859938352905056,0,0.28,56.5,0.01,0.01,0,0.3,40.43,1.03543856373585,1.42,0.013695,"APATITE"
"42","[2738] VILADKAR S. G. (1992)","samp. 8","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"SOVITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.16,0.3,0.1768652,0.01,0.08233,56.72,0,0.11,0.063675,0.39,40.53,0.350512155116217,3.014,0.05291335,"APATITE"
"43","[2738] VILADKAR S. G. (1992)","samp. 9","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"CARBONATITE, ANKERITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.11,0,0,0,0.153,56.16,0.23,0,0.01,0.32,41.8,0.389581799936773,3.246,0.05,"APATITE"
"44","[2738] VILADKAR S. G. (1992)","samp. 10","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"CARBONATITE, ANKERITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.15,0,0.029,0.072,0,56.2,0.013,0.319,0.023,0.24,40.76,0.655191043712823,2.52,0.076,"APATITE"
"45","[2738] VILADKAR S. G. (1992)","samp. 11","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"CARBONATITE, ANKERITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.14,0.045,0,0.025,0.283533103536244,56.45,0.14,0.1183,0.011,0.28,41.16,0.592494219544082,2.067,0.03,"APATITE"
"46","[2738] VILADKAR S. G. (1992)","samp. 12","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"CARBONATITE, ANKERITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.12,0,0.05289967,0,0.073,56.18,0.22,0.19,0.0095,0.35,41.16,0.338207932674326,2.95,0.206,"APATITE"
"47","[2738] VILADKAR S. G. (1992)","samp. 13","CONTINENTAL FLOOD BASALT","DECCAN / NORTHERN DECCAN / AMBA DONGAR RING COMPLEX","CHHOTA UDAIPUR SUBPROVINCE, GUJARAT",22,22,74.08,74.08,"subaerial",NA,NA,"CARBONATITE, ANKERITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.4,0.02,0.02,0.0096,0.118,56.23,0.01,0.034,0.064164,0.21,40.74,1.08235750818712,1.443,0.007,"APATITE"
"48","[3418] LEEMAN W. P. (1976)","samp. 72-27","CONTINENTAL FLOOD BASALT","YELLOWSTONE-SNAKE RIVER PLAIN VOLCANIC PROVINCE / SNAKE RIVER PLAIN / SUNSET CONE FLOWS","CRATERS OF THE MOON NATIONAL MONUMENT, BUTTE COUNTY, IDAHO",43.42,43.42,-113.5,-113.5,"subaerial",NA,NA,"BASALT",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.41,0.01,0.02,0,0.133,54.7,0.41,0.01,0.029,0.16,41,-0.0545530271261912,4.06,0.0414,"APATITE"
"49","[3475] LUHR J. F. (1981)","samp. 101A","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / COLIMA VOLCANIC COMPLEX","SOUTHERN COLIMA GRABEN, LA ERITA, CINDER CONE",19.65,19.65,-103.76,-103.76,"subaerial",NA,NA,"MINETTE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.88,0,0,0,0.32,53.88,0.42,0,0,0.05,40.11,0.176741572784754,3.02,0.18,"APATITE"
"50","[3475] LUHR J. F. (1981)","samp. 7E","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / COLIMA VOLCANIC COMPLEX","SOUTHERN COLIMA GRABEN, EL CARPINTERO NORTE, CINDER CONE",19.73,19.73,-103.73,-103.73,"subaerial",NA,NA,"MINETTE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.92,0,0,0,0.22,54.13,0.43,0,0,0.08,39.36,0.312096915344792,2.86,0.18,"APATITE"
