"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","GROUP"
"1420","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.47,0,0.01,0.018,0.13,56.52,0.05,0.02,0.017,0.17,41.59,0.983028711177482,1.55,0.01,"APATITE"
"1421","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.27,0.017,0.00656,0.02,0.28,56.7,0,0.02,0.04,0.33,40.91,1.16672198647155,1.42,0.02,"APATITE"
"1422","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.13,0.01,0.05289967,0,0.1,56.61,0,0,0,0.36,41.61,0.949652877839578,1.71,0.01,"APATITE"
"1423","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.01,0,0.11,0.01,0.07,55.95,0,0,0.024,0.06,40.65,0.583153529774462,1.61,0,"APATITE"
"1424","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.05,0,0.032,0,0.76,57.83,0.1,0.02,0.01,0.1,41.09,1.04423407268347,1.63,0.01,"APATITE"
"1425","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.97,0.07,0.62,0,2.96,53.43,1.1,0.04,0.23,0.1,39.62,0.92,1.2,0,"APATITE"
"1426","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.29,0.01,0,0,0.81,57.13,0.04,0.03,0.044536,0.22,40.88,1.13029226692681,1.4,0.01,"APATITE"
"1427","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.1,0.056,0,0.017,0.15,56.63,0,0.07,0.01,0.25,41.63,0.795773008777309,1.53,0.01,"APATITE"
"1428","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.47,0.1569924,0.06282948,0.01,0.17,56.23,0,0.05,0.08,0.29,40.63,1.13060000718644,1.57,0.01,"APATITE"
"1429","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.15,0,0,0,0.12,56.09,0,0,0,0.2,42.49,1.08,1.49,0,"APATITE"
"1430","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.18,0,0.0228,0,0.71,55.65,0,0.01,0.02,0.12,42.06,0.847550499884677,1.57,0,"APATITE"
"1431","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.88,0,0.03,0,0.06,55.76,0,0.05,0.053321,0.07,41.49,1.02,1.42,0,"APATITE"
"1432","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.23,0.05,0,0,0.04,55.77,0,0.06,0,0.02,42.54,0.884146101644946,1.42,0,"APATITE"
"1433","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.36,0,0.004,0,0.06,55.54,0,0,0,0.02,42.98,0.812321405034283,1.55,0,"APATITE"
"1434","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.27,0,0,0,0.04,56.16,0,0.01,0.01,0.12,42.21,1.08,1.55,0,"APATITE"
"1435","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.83,0.03,0.0166555207019113,0,0.15,56.37,0.06,0.08,0.008,0.09,41.68,0.979040734045686,0.93,0.01,"APATITE"
"1436","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0,0,0.02,0,0.19,58.47,0.02,0,0,0.1,42.68,1.15255549827003,1.33,0,"APATITE"
"1437","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0,0,0.03,0,0.15,55.99,0,0.05,0.023,0.3,42.62,1.130863146292,1.45,0.01,"APATITE"
"1438","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.73,0,0.003555,0,0.15,57.22,0.04,0,0.01,0.08,41.63,0.847550499884677,1.18,0.01,"APATITE"
"1439","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.52,0.0522,0.09,0.015,0.19,56.08,0.04,0,0.09,0.18,39.96,1.12628492953084,1.41,0,"APATITE"
"1440","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.26,0,0,0,0.14,57.39,0.05,0,0.015544,0.1,41.04,0.834715862697383,1.1,0.01,"APATITE"
"1441","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.32,0,0,0.02,0.16,56.87,0.07,0,0.02,0.11,40.81,0.973490023338139,1.34,0.02,"APATITE"
"1442","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.69,0,0,0.011,0.04,56.19,0.01,0.04,0,0.08,41.76,0.889499696674871,1.1,0,"APATITE"
"1443","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.73,0.061,0.05,0.02,0.04,57.68,0,0.09,0.027,0.37,41.02,1.11774173295061,1.26,0.01,"APATITE"
"1444","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.83,0.000490923516982969,0,0,0.07,55.64,0.02,0.04,0,0.14,41.56,0.98,1.24,0.01,"APATITE"
"1445","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.83,0,0,0,0.09,56.06,0.01,0.06,0,0.09,41.06,0.858741840536759,1.07,0,"APATITE"
"1446","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0,0,0,0,0.08,58.21,0,0,0.001,0.01,43.55,0.926369831478153,1.38,0.01,"APATITE"
"1447","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.41,0.012,0.282,0.0096,0.25,56.81,0.09,0.04,0.2,0.14,40.85,1.13839000470366,0.77,0.01,"APATITE"
"1448","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.15,0.024,0,0,0.09,57.19,0.09,0.01,0.039,0.08,41.36,1.06741558388064,0.74,0.01,"APATITE"
"1449","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.29,0,0,0,0.1,57.21,0.07,0.03,0.022,0.11,40.67,1.04423407268347,1.24,0.01,"APATITE"
"1450","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.56,0,0.023,0,0.07,54.94,0.01,0.07,0.0171579359111468,0.11,39.82,0.983028711177482,1.56,0,"APATITE"
"1451","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.9,0.1095,0.1682421,0.006,0.17,56.4,0.01,0,0.047,0.04,41.23,1.07471816700937,1.47,0,"APATITE"
"1452","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.68,0.003,0,0,0.07,56.01,0.01,0.07,0.068,0.07,40.3,1.04,1.43,0,"APATITE"
"1453","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.1,0.05,0.243,0.053,0.18,56.26,0.02,0.04,0.08,0.09,40.79,1.03,1.51,0,"APATITE"
"1454","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.9,0.027,0,0,0.23,57.3,0.03,0.01,0,0.11,41.63,1.03249908466682,1.31,0.01,"APATITE"
"1455","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD012","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.32,0,0.01,0,0.25,57.45,0.09,0.04,0.129413,0.09,40.51,1.16221754203079,0.94,0.1,"APATITE"
"1456","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.2,0,0.017,0,0.457,54.88,0.03,0,0.009,0.34,39.29,0.914832790914896,1.62,0.01,"APATITE"
"1457","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.75,0,0,0.053,0,53.74,0.09,0,0,0.4,38.12,0.816619002043268,1.47,0.01,"APATITE"
"1458","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",2.03,0.08,0.064,0.01,0.199907,53.44,0.21,0,0.0412,0.3,37.52,0.876390281879127,1.71,0.01,"APATITE"
"1459","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.54,0,0.04,0,0.24,53,0.16,0,0.03494536,0.35,38.85,1.07044889447903,1.72,0.01,"APATITE"
"1460","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.6,0,0.17,0,0.36,53.72,0.23,0,0.11334746557607,0.36,38.5,0.969863216847924,1.71,0.01,"APATITE"
"1461","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.73,0,0,0,0.39,54.1,0.07,0,0.09,0.38,38.63,0.618553336881687,1.67,0.01,"APATITE"
"1462","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.92,0.06,0.1,0.02,1.24,52.84,0.3,0,0.07,0.36,37.39,1.10798777973055,1.55,0.01,"APATITE"
"1463","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.6,0.049,0,0.02,0.234,53.01,0.15,0,0.047,0.38,38.71,1.08,1.62,0.01,"APATITE"
"1464","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.59,0.08,0.06,0.014,2.5,53.21,0.11,0,0.1,0.5,38.19,1.03543856373585,1.44,0.01,"APATITE"
"1465","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.65,0,0.019242,0.01,0.03,54.5,0.06,0,0.01,0.4,39.02,0.889499696674871,1.69,0.01,"APATITE"
"1466","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.36,0.005,0,0.02,0.141,55.2,0.09,0,0.104,0.4,39.54,0.907486129735796,1.57,0.01,"APATITE"
"1467","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.26,0,0.03,0.009,0.577,53.63,0.27,0,0.01,0.38,38.53,0.84444588394882,1.79,0.01,"APATITE"
"1468","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",2.38,0,0.281,0,0.38,51.53,0.48,0,0.34,0.3,37.85,0.901817608224699,1.75,0.01,"APATITE"
"1469","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",4.91,0.025,1.539,0,0.759,50.5,0.31,0,0.59,0.32,36.39,1.11144617329244,1.49,0,"APATITE"
"1470","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",4.01,0.05,1.01,0.016,0.02,51.22,0.31,0,0.114347,0.3,37.44,1.08235750818712,1.52,0.01,"APATITE"
"1471","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",3.99,0.09,0.758950002102293,0.01,0.6828126,50.24,0.44,0,0.47,0.31,36.38,1.07405196402808,1.62,0.01,"APATITE"
"1472","[17728] SCH<dc>RMANN L. W. (2002)","samp. KD016","INTRAPLATE VOLCANICS","KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / KRUIDFONTEIN COMPLEX","OUTER ZONE AT FONTEINKOP",-25.117,-25.117,27.5,27.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.63,0,0.0392289666617978,0,0.497,54.52,0.1,0,0.044,0.35,39.03,1.12628492953084,1.6,0.01,"APATITE"
