"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","LA2O3(WT%)","CE2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","PBO(WT%)","NIO(WT%)","ZNO(WT%)","COO(WT%)","RB2O(WT%)","K2O(WT%)","NA2O(WT%)","LI2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","S2(WT%)","LOI(WT%)","O(WT%)","SI(WT%)","AL(WT%)","FE(WT%)","MG(WT%)","CA(WT%)","K(WT%)","NA(WT%)","HE(CCMSTP/G)","LI(PPM)","BE(PPM)","B(PPM)","P(PPM)","S(PPM)","AR36(CCMSTP/G)","AR40(AT/G)","AR40(CCMSTP/G)","AR40(MOL/G)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PB(PPM)","TH(PPM)","U(PPM)","U(PPB)","H2O(PPM)","ND143_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB207_PB204","PB207_PB206","PB208_PB204","PB208_PB206","HE3_HE4(R/R(A))","AR36_AR39","AR37_AR39","AR38_AR39","AR40_AR39","PB210_TH230_ACT","RA226_TH230_ACT","RA226_U238_ACT","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_TH230_ACT","U238_TH232_ACT","D13C(‰PDB)","D18O(‰)","D18O(‰SMOW)","D18O(‰VSMOW)","D34S(‰CDT)","D56FE(‰IRMM-014)","D57FE(‰IRMM-014)","ALBITE(MOL%)","ANORTHITE(MOL%)","CELSIAN(MOL%)","KALSILITE(MOL%)","(AL)KALIFELDSPAR(MOL%)","NEPHELINE(MOL%)","ORTHOCLASE(MOL%)","QUARTZ(MOL%)","AGE(KA)","AGE(MA)",
"[12386] MOLLEL G. F. (2007)","samp. 6","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / EMBAGAI","","-2.92","-2.92","35.8","35.8","subaerial","","","NOT GIVEN","","","","","NEPHELINE","","","","","primary","42.04","0.11","","29.93","","","","","","","2.71","","0.16","0.25","0","","","","","","","","8.54","14.72","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12386] MOLLEL G. F. (2007)","samp. 7","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / EMBAGAI","","-2.92","-2.92","35.8","35.8","subaerial","","","NOT GIVEN","","","","","NEPHELINE","","","","","primary","42.3","0.01","","29.14","","","","","","","4.83","","0.6","0.39","0.01","","","","","","","","8.67","14.36","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12386] MOLLEL G. F. (2007)","samp. 8","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / EMBAGAI","","-2.92","-2.92","35.8","35.8","subaerial","","","NOT GIVEN","","","","","NEPHELINE","","","","","primary","41.56","0.03","","31.48","","","","","","","3.57","","0.09","0.14","0","","","","","","","","9.17","14.74","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12386] MOLLEL G. F. (2007)","samp. EMB6","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / EMBAGAI","","-2.92","-2.92","35.8","35.8","subaerial","","","NOT GIVEN","","","","","NEPHELINE","","","","","primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.32 \ 1.13",
"[12391] CHURCH A. A. (1995)","samp. 6/93","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","1993 BLOCKY FLOW NEAR THE EASTERN CRATER WALL","-2.75","-2.75","35.93","35.93","subaerial","","","CARBONATITE, NATRO","","","","","NEPHELINE","","phenocryst","core","","primary","42.46","","","32.9","","","","","","","0.9","","0.3","","","","0.64","","","","","","5.58","17.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12391] CHURCH A. A. (1995)","samp. 6/93","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","1993 BLOCKY FLOW NEAR THE EASTERN CRATER WALL","-2.75","-2.75","35.93","35.93","subaerial","","","CARBONATITE, NATRO","","","","","NEPHELINE","","phenocryst","rim","","primary","42.89","","","31.92","","","","","","","2.19","","0.29","","","","1.18","","","","","","6.8","15.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12391] CHURCH A. A. (1995)","samp. 6/93","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","1993 BLOCKY FLOW NEAR THE EASTERN CRATER WALL","-2.75","-2.75","35.93","35.93","subaerial","","","CARBONATITE, NATRO","","","","","NEPHELINE","","","","","primary","44.35","","","30.45","","","","","","","2.57","","0.52","","","","1.23","","","","","","6.6","15.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD4421","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MOST NORTHERLY OF A CHAIN OF SMALL SCORIA CONES ON THE LOWER NORTHERN SLOPE OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, WOLLASTONITE","","","","","NEPHELINE","","phenocryst","core","","primary","42.1","","","32.2","","","","","2.15","","","","0.11","0.04","","","","","","","","","6.54","16.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD4421","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MOST NORTHERLY OF A CHAIN OF SMALL SCORIA CONES ON THE LOWER NORTHERN SLOPE OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, WOLLASTONITE","","","","","NEPHELINE","","phenocryst","rim","","primary","41.6","","","31.7","","","","","2.75","","","","0.12","0.05","","","","","","","","","7.02","16.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD4421","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MOST NORTHERLY OF A CHAIN OF SMALL SCORIA CONES ON THE LOWER NORTHERN SLOPE OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, WOLLASTONITE","","","","","NEPHELINE","","groundmass","core","","primary","41","","","32.5","","","","","1.73","","","","0.46","0.12","","","","","","","","","8.49","14.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD4421","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MOST NORTHERLY OF A CHAIN OF SMALL SCORIA CONES ON THE LOWER NORTHERN SLOPE OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, WOLLASTONITE","","","","","NEPHELINE","","groundmass","rim","","primary","41.1","","","32.3","","","","","1.98","","","","0.22","0.1","","","","","","","","","8.64","15.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD4421","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MOST NORTHERLY OF A CHAIN OF SMALL SCORIA CONES ON THE LOWER NORTHERN SLOPE OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, WOLLASTONITE","","","","","NEPHELINE","","groundmass","","","primary","41.9","","","30.3","","","","","3.79","","","","0.1","0.15","","","","","","","","","8.33","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 119","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","SMALL OUTWARD-DIPPING LAVA FLOW ON THE WESTERN RIM OF THE NORTHERN CRATER","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, WOLLASTONITE-COMBEITE","","","","","NEPHELINE","","phenocryst","core","","primary","42.8","","","32.4","","","","","1.33","","","","0.12","0.03","","","","","","","","","7.76","15.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 119","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","SMALL OUTWARD-DIPPING LAVA FLOW ON THE WESTERN RIM OF THE NORTHERN CRATER","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, WOLLASTONITE-COMBEITE","","","","","NEPHELINE","","phenocryst","rim","","primary","42.8","","","31.4","","","","","2.02","","","","0.08","0.04","","","","","","","","","7.82","15.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 119","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","SMALL OUTWARD-DIPPING LAVA FLOW ON THE WESTERN RIM OF THE NORTHERN CRATER","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, WOLLASTONITE-COMBEITE","","","","","NEPHELINE","","groundmass","","","primary","42.5","","","30.8","","","","","3.27","","","","0.14","0.06","","","","","","","","","7.91","15.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 70","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LOWER NE SLOPES OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, COMBEITE","","","","","NEPHELINE","","phenocryst","core","","primary","41.3","","","33.2","","","","","0.9","","","","0.26","","","","","","","","","","8.12","15.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 70","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LOWER NE SLOPES OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, COMBEITE","","","","","NEPHELINE","","phenocryst","rim","","primary","42.3","","","31.7","","","","","2.39","","","","0.02","","","","","","","","","","7.85","15.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 70","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LOWER NE SLOPES OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, COMBEITE","","","","","NEPHELINE","","groundmass","core","","primary","42.4","","","31.3","","","","","2.39","","","","0","","","","","","","","","","7.79","15.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 70","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LOWER NE SLOPES OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, COMBEITE","","","","","NEPHELINE","","groundmass","intermediate zone","","primary","41.5","","","27.5","","","","","7.34","","","","0.02","","","","","","","","","","8.19","15.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 70","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LOWER NE SLOPES OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, COMBEITE","","","","","NEPHELINE","","groundmass","rim","","primary","40.3","","","28","","","","","8.02","","","","0","","","","","","","","","","8.3","15.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 70","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LOWER NE SLOPES OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, COMBEITE","","","","","SODALITE","","phenocryst","core","","primary","36.6","0","","28","","","","","3.12","","","","0.05","0.09","0.05","","","","","","","","3.77","22.6","","0.03","","","","","0.17","6.41","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 70","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LOWER NE SLOPES OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, COMBEITE","","","","","SODALITE","","phenocryst","rim","","primary","36.2","0","","28","","","","","3.52","","","","0.09","0.08","0.05","","","","","","","","3.76","22.6","","0.04","","","","","0.17","6.61","","","","0.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12392] DAWSON J. B. (1998)","samp. BD 70","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LOWER NE SLOPES OF THE VOLCANO","-2.75","-2.75","35.93","35.93","subaerial","","","NEPHELINITE, COMBEITE","","","","","SODALITE","","microphenocryst","","","primary","35.9","0","","28.4","","","","","3.27","","","","0.14","0.04","0","","","","","","","","3.64","22.6","","0.04","","","","","0.16","6.64","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12393] KELLER J. (2006)","samp. OL 226","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LENGAI I, UPPER S-FLANK","-2.7659","-2.7659","35.9159","35.9159","subaerial","","","PHONOLITE","","","","","NEPHELINE","","","core","","primary","44.84","","","32.05","","","","","1.43","","","","0.11","","","","","","","","","","5.16","16.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12393] KELLER J. (2006)","samp. OL 226","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LENGAI I, UPPER S-FLANK","-2.7659","-2.7659","35.9159","35.9159","subaerial","","","PHONOLITE","","","","","NEPHELINE","","","rim","","primary","45.7","","","31.63","","","","","1.61","","","","","","","","","","","","","","4.77","16.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12393] KELLER J. (2006)","samp. OL 226","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LENGAI I, UPPER S-FLANK","-2.7659","-2.7659","35.9159","35.9159","subaerial","","","PHONOLITE","","","","","SODALITE","","","core","","primary","36.53","","","30.19","","","","","","","0.75","","0.23","","","","","","","","","","0.34","25.71","","","","","","","","6.24","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12393] KELLER J. (2006)","samp. OL 226","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","LENGAI I, UPPER S-FLANK","-2.7659","-2.7659","35.9159","35.9159","subaerial","","","PHONOLITE","","","","","SODALITE","","","rim","","primary","37.19","0.19","","29.81","","","","","","","0.99","","0.28","","","","","","","","","","0.22","25.45","","","","","","","","6.38","","","","1.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12394] DAWSON J. B. (1994)","samp. 1","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","","-2.75","-2.75","35.93","35.93","subaerial","","","CARBONATITE, ALKALI","","","","","NEPHELINE","","phenocryst","core","","primary","42.7","0","","32.7","","","","","1.2","","","","0.13","0.06","0","","","","","","","","6.67","16.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12403] AYDIN F. (2008)","samp. P9A","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / PONTIDES","","40.8","41","39.6","39.8","subaerial","","","BASANITE","","","","","CANCRINITE","","microphenocryst","","","primary","34.2","0","","29.14","","","","","","","0.33","","10.19","0.39","0.01","","","","","","","","1.95","12.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12403] AYDIN F. (2008)","samp. YB5C","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / PONTIDES","","40.8","41","39.6","39.8","subaerial","","","TEPHRITE, OLIVINE","","","","","CANCRINITE","","microphenocryst","","","primary","33.9","0.03","","29.06","","","","","","","0.29","","10.15","0.38","0.03","","","","","","","","1.89","12.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12403] AYDIN F. (2008)","samp. YB5D","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / PONTIDES","","40.8","41","39.6","39.8","subaerial","","","TEPHRITE, OLIVINE","","","","","CANCRINITE","","microphenocryst","","","primary","33.61","0.02","","29.02","","","","","","","0.43","","10.05","0.42","0.04","","","","","","","","2.01","13.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12403] AYDIN F. (2008)","samp. YB6","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / PONTIDES","","40.8","41","39.6","39.8","subaerial","","","TEPHRITE","","","","","HAUYNE","","microphenocryst","","","primary","34.12","0.05","","28.21","","","","","","","0.33","","8.3","0.02","0","","","","","","","","5.47","9.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12403] AYDIN F. (2008)","samp. YB10","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / PONTIDES","","40.8","41","39.6","39.8","subaerial","","","TEPHRITE","","","","","HAUYNE","","microphenocryst","","","primary","33.56","0.04","","28.13","","","","","","","0.29","","8.44","0.01","0","","","","","","","","5.62","9.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12403] AYDIN F. (2008)","samp. E10","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / PONTIDES","","40.8","41","39.6","39.8","subaerial","","","PHONOTEPHRITE","","","","","LEUCITE","","microphenocryst","","","primary","55","0","","23.23","","","","","","","0.55","","0","0","0","","","","","","","","20.18","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[12403] AYDIN F. (2008)","samp. E11","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT - CENOZOIC/QUATERNARY / TURKEY / PONTIDES","","40.8","41","39.6","39.8","subaerial","","","PHONOTEPHRITE","","","","","LEUCITE","","microphenocryst","","","primary","54.81","0","","23.1","","","","","","","0.57","","0","0","0","","","","","","","","20.18","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
