"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","LA2O3(WT%)","CE2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","PBO(WT%)","NIO(WT%)","ZNO(WT%)","COO(WT%)","RB2O(WT%)","K2O(WT%)","NA2O(WT%)","LI2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","S2(WT%)","LOI(WT%)","O(WT%)","SI(WT%)","AL(WT%)","FE(WT%)","MG(WT%)","CA(WT%)","K(WT%)","NA(WT%)","HE(CCMSTP/G)","LI(PPM)","BE(PPM)","B(PPM)","P(PPM)","S(PPM)","AR36(CCMSTP/G)","AR40(AT/G)","AR40(CCMSTP/G)","AR40(MOL/G)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PB(PPM)","TH(PPM)","U(PPM)","U(PPB)","H2O(PPM)","ND143_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB207_PB204","PB207_PB206","PB208_PB204","PB208_PB206","HE3_HE4(R/R(A))","AR36_AR39","AR37_AR39","AR38_AR39","AR40_AR39","PB210_TH230_ACT","RA226_TH230_ACT","RA226_U238_ACT","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_TH230_ACT","U238_TH232_ACT","D13C(‰PDB)","D18O(‰)","D18O(‰SMOW)","D18O(‰VSMOW)","D34S(‰CDT)","D56FE(‰IRMM-014)","D57FE(‰IRMM-014)","ALBITE(MOL%)","ANORTHITE(MOL%)","CELSIAN(MOL%)","KALSILITE(MOL%)","(AL)KALIFELDSPAR(MOL%)","NEPHELINE(MOL%)","ORTHOCLASE(MOL%)","QUARTZ(MOL%)","AGE(KA)","AGE(MA)",
"[727] FURNES H. (1987)","samp. FM42","OCEAN ISLAND","CAPE VERDE ISLANDS / MAIO","","15.15","15.15","-23.2","-23.2","subaerial","","","LAMPROPHYRE","APHYRIC","","","","ANALCIME","","groundmass","","","primary","52.35","","","22.65","","","","","","","0.12","","1.61","","","","","","","","","","2.65","10.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[742] CELESTINO SILVA L. (1987)","samp. B-126/82","OCEAN ISLAND","CAPE VERDE ISLANDS / BOA VISTA","DIKE","16.1","16.1","-23","-23","subaerial","","","PHONOLITE","","","","","ANALCIME","","macrocryst","","","primary","54.34","","","22.6","","","","","","","","","","","","","","","","","","","0.25","12.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[742] CELESTINO SILVA L. (1987)","samp. B-127/82","OCEAN ISLAND","CAPE VERDE ISLANDS / BOA VISTA","DIKE","16.1","16.1","-23","-23","subaerial","","","PHONOLITE","","","","","ANALCIME","","macrocryst","","","primary","54.87","","","22.47","","","","","0.4","","","","0.01","","","","","","","","","","0.08","12.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[742] CELESTINO SILVA L. (1987)","samp. B-125/82","OCEAN ISLAND","CAPE VERDE ISLANDS / BOA VISTA","DIKE","16.1","16.1","-23","-23","subaerial","","","PHONOLITE","","","","","PSEUDOLEUCITE","","","","","secondary","57.18","","","22.14","","","","","0.13","","","","0.3","","","","","","","","","","10.22","5.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY","-9.42","-9.42","-140","-140","subaerial","","","PHONOLITE","SUBAPHYRIC","","","","NEPHELINE","","","","","primary","44.44","","","32.94","","","","","","0.24","","","","","","","","","","","","","4.5","16.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY","-9.42","-9.42","-140","-140","subaerial","","","PHONOLITE","SUBAPHYRIC","","","","NEPHELINE","","","","","primary","44.8","","","33","","","","","","0.38","","","","","","","","","","","","","4.47","16.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY","-9.42","-9.42","-140","-140","subaerial","","","PHONOLITE","SUBAPHYRIC","","","","NEPHELINE","","","","","primary","44.58","","","32.76","","","","","","0.48","","","","","","","","","","","","","3.7","16.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY","-9.42","-9.42","-140","-140","subaerial","","","PHONOLITE","SUBAPHYRIC","","","","SODALITE","","","","","primary","41.1","","","29.37","","","","","","2.87","","","0.03","","","","","","","","","","0.8","20.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY","-9.42","-9.42","-140","-140","subaerial","","","PHONOLITE","SUBAPHYRIC","","","","ANALCIME","","","","","primary","53.25","","","22.29","","","","","","0.38","","","0.62","","","","","","","","","","0.06","12.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[808] FODOR R. V. (1982)","samp. G","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI","","-18.83","-18.83","-159.83","-159.83","subaerial","","","CLINOPYROXENITE, XENOLITH","","","","","NEPHELINE","","","","","primary","43.7","","","33.8","","","","","","","","0.53","0.35","0.64","","","","","","","","","6.5","12.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[808] FODOR R. V. (1982)","samp. N-1","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI","","-18.83","-18.83","-159.83","-159.83","subaerial","","","CLINOPYROXENITE, XENOLITH","","","","","NEPHELINE","","","","","primary","44.1","","","33.9","","","","","","","","0.32","1.7","0.05","","","","","","","","","4.8","14.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[808] FODOR R. V. (1982)","samp. B","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI","","-18.83","-18.83","-159.83","-159.83","subaerial","","","NOT GIVEN","","","","","NEPHELINE","","","","","primary","46.6","","","31.4","","","","","","","","0.8","0.69","1","","","","","","","","","6.3","12.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[808] FODOR R. V. (1982)","samp. HOST","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI","","-18.83","-18.83","-159.83","-159.83","subaerial","","","NEPHELINITE, OLIVINE","","","","","NEPHELINE","","","","","primary","42.8","","","33.2","","","","","","","","0.86","0.25","0.24","","","","","","","","","7","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[808] FODOR R. V. (1982)","samp. B","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI","","-18.83","-18.83","-159.83","-159.83","subaerial","","","NOT GIVEN","","","","","LEUCITE","","","","","primary","56.9","","","23.2","","","","","","","","0.39","0.3","0.06","","","","","","","","","19.9","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[892] DORRONSORO-URRUTIA C. (1979)","samp. 26.507ILM","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA / ARUCAS","TRANSMONTANA","28.11","28.11","-15.47","-15.47","subaerial","","","TRACHYANDESITE","","","","","HAUYNE","","","","","primary","33.55","","","26.52","","","","","","0.27","","","6.42","","","","","","","","","","0.54","18.8","","","1.12","","","","","0.35","","","12.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[892] DORRONSORO-URRUTIA C. (1979)","samp. 26.518ILM","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA","","28","28","-15.6","-15.6","subaerial","","","HAUYNOPHYRE, XENOLITH","","","","","HAUYNE","","","","","primary","34.45","","","27.45","","","","","","0.25","","","6.69","","","","","","","","","","1.81","17.7","","","0.51","","","","","0.67","","","10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[892] DORRONSORO-URRUTIA C. (1979)","samp. 26.518ILM","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA","","28","28","-15.6","-15.6","subaerial","","","HAUYNOPHYRE, XENOLITH","","","","","HAUYNE","","","","","primary","34.45","","","27.58","","","","","","0.27","","","6.97","","","","","","","","","","1.76","17.6","","","0.5","","","","","0.67","","","9.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[892] DORRONSORO-URRUTIA C. (1979)","samp. 27.702ILM","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA","","28","28","-15.6","-15.6","subaerial","","","HAUYNOPHYRE, XENOLITH","","","","","HAUYNE","","","","","primary","34.1","","","27.18","","","","","","1","","","6.97","","","","","","","","","","1.32","17.8","","","0.18","","","","","0.53","","","10.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[925] AREVALO P. (1972)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / GRAN CANARIA","ARUCAS","28","28","-15.6","-15.6","subaerial","","","PHONOLITE","","","","","HAUYNE","","","","","primary","34","","","27.3","","","","","","0.27","","","0.27","","","","","","","","","","0.4","18.6","","","","","","","","","0.54","","","11.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","","28","28.6","-16.1","-16.9","subaerial","","","SYENITE, NEPHELINE","","","","","SODALITE","","","","","primary","37.8","","","28.8","","","","","0.97","","","","","","","","","","","","","","0.43","23.7","","","0.3","","","","0.14","7.2","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","","28","28.6","-16.1","-16.9","subaerial","","","SYENITE, NEPHELINE","","","","","NEPHELINE","","","","","primary","47.2","","","31","","","","","","0.82","","","","","","","","","","","","","3.8","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[962] WOLFF J. A. (1987)","samp. S3/2","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA","","28.3","28.3","-16.6","-16.6","subaerial","","","SYENITE, NEPHELINE","","","","extensively altered","NEPHELINE","668","phenocryst","","","primary","45.52","","","31.74","","","","","","0.85","","","0.36","","","","","","","","","","3.86","16.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[962] WOLFF J. A. (1987)","samp. S3/2","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA","","28.3","28.3","-16.6","-16.6","subaerial","","","SYENITE, NEPHELINE","","","","extensively altered","NEPHELINE","413","","","","primary","46.53","","","31.36","","","","","","1.51","","","","","","","","","","","","","3.61","17.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[962] WOLFF J. A. (1987)","samp. S1/4","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA","","28.3","28.3","-16.6","-16.6","subaerial","","","SYENITE, NEPHELINE","","","","extensively altered","NEPHELINE","1290","","","","primary","45.22","","","31.95","","","","","","0.81","","","","","","","","","","","","","4.08","17.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[962] WOLFF J. A. (1987)","samp. SX3","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA","","28.3","28.3","-16.6","-16.6","subaerial","","","SYENITE, NEPHELINE","","","","extensively altered","NEPHELINE","1329","","rim","","primary","45.96","","","31.12","","","","","","1.79","","","","","","","","","","","","","3.58","17.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[962] WOLFF J. A. (1987)","samp. SX3","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA","","28.3","28.3","-16.6","-16.6","subaerial","","","SYENITE, NEPHELINE","","","","extensively altered","NEPHELINE","1333","","core","","primary","46.62","","","30","","","","","","1.93","","","","","","","","","","","","","3.4","17.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
