"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","C(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","O(WT%)","MG(WT%)","K(WT%)","MG(PPM)","AL(PPM)","AR40(MOL/G)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","AG(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","AU(PPM)","TH(PPM)","U(PPM)","SR87_SR86","RB87_SR86","D18O(‰SMOW)","D18O(‰VSMOW)","DD(‰)","DD(‰VSMOW)","AGE(MA)",
"[84] CONRAD M. E. (1997)","samp. 4-2945","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","898","898","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","-89","","",
"[84] CONRAD M. E. (1997)","samp. 4-3434","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1047","1047","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","-65","","",
"[84] CONRAD M. E. (1997)","samp. 4-3825","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1166","1166","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","","","",
"[84] CONRAD M. E. (1997)","samp. 4-4513","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1376","1376","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","-69","","",
"[84] CONRAD M. E. (1997)","samp. 4-4757","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1450","1450","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","-80","","",
"[84] CONRAD M. E. (1997)","samp. 4-5144","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1568","1568","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","-62","","",
"[84] CONRAD M. E. (1997)","samp. 4-5447","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1660","1660","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","-63","","",
"[84] CONRAD M. E. (1997)","samp. 4-5534","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1687","1687","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","-83","","",
"[84] CONRAD M. E. (1997)","samp. 4-5587","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1703","1703","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","","","",
"[84] CONRAD M. E. (1997)","samp. 4-5717","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1743","1743","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","",
