"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","C(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","O(WT%)","MG(WT%)","K(WT%)","MG(PPM)","AL(PPM)","AR40(MOL/G)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","AG(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","AU(PPM)","TH(PPM)","U(PPM)","SR87_SR86","RB87_SR86","D18O(‰SMOW)","D18O(‰VSMOW)","DD(‰)","DD(‰VSMOW)","AGE(MA)",
"[1271] DUDOIGNON P. (1989)","samp. 9","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","VIVIANE DRILL HOLE, RIFT ZONE","-21.88","-21.88","-138.75","-138.75","subaerial","","","OCEANITE","","","","extensively altered","CLAY MINERAL","3","","","","secondary","60.83","0","6.34","","","","","6.97","1.1","2.55","0","","","","0.82","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1271] DUDOIGNON P. (1989)","samp. 9","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","VIVIANE DRILL HOLE, RIFT ZONE","-21.88","-21.88","-138.75","-138.75","subaerial","","","OCEANITE","","","","extensively altered","CLAY MINERAL","4","","","","secondary","58.21","0","6.45","","","","","9.41","1.22","4.93","0.09","","","","0.21","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1271] DUDOIGNON P. (1989)","samp. 10","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","FUCHSIA DRILL HOLE","-21.83","-21.83","-138.88","-138.88","subaerial","","","BASALT","","","","extensively altered","CLAY MINERAL","1","","","","secondary","40.64","0.87","16.91","","","","","6.58","0.37","15.92","0.09","","","","1.95","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1271] DUDOIGNON P. (1989)","samp. 10","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","FUCHSIA DRILL HOLE","-21.83","-21.83","-138.88","-138.88","subaerial","","","BASALT","","","","extensively altered","CLAY MINERAL","2","","","","secondary","41.3","0.87","16.46","","","","","7.05","0.49","15.66","0","","","","1.95","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1271] DUDOIGNON P. (1989)","samp. 10","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","FUCHSIA DRILL HOLE","-21.83","-21.83","-138.88","-138.88","subaerial","","","BASALT","","","","extensively altered","CLAY MINERAL","3","","","","secondary","39.59","0.17","24.58","","","","","2.66","0.49","11.7","0","","","","1.85","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1271] DUDOIGNON P. (1989)","samp. 10","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","FUCHSIA DRILL HOLE","-21.83","-21.83","-138.88","-138.88","subaerial","","","BASALT","","","","extensively altered","CLAY MINERAL","4","","","","secondary","39.46","0","24.14","","","","","3.45","0.73","11.35","0.18","","","","2.57","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[1271] DUDOIGNON P. (1989)","samp. 10","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","FUCHSIA DRILL HOLE","-21.83","-21.83","-138.88","-138.88","subaerial","","","BASALT","","","","extensively altered","CLAY MINERAL","5","","","","secondary","40.12","0.17","18.8","","","","","5.64","0.61","15.83","0.18","","","","1.54","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2003] CLAGUE D. A. (1976)","samp. ST11-78-23","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 78D","","-8.6812","-8.6812","-163.7117","-163.7117","subaquatic","-4085","-4085","GABBRO","CUMULATE","","","extensively altered","SAPONITE","1","","","","secondary","39.3","","5.8","","","","10.5","","0.3","26.1","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2003] CLAGUE D. A. (1976)","samp. ST11-78-23","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 78D","","-8.6812","-8.6812","-163.7117","-163.7117","subaquatic","-4085","-4085","GABBRO","CUMULATE","","","extensively altered","SAPONITE","2","","","","secondary","36.8","","8.6","","","","9.8","","0.5","25.7","","","","","","","","18.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2003] CLAGUE D. A. (1976)","samp. ST11-78-23","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 78D","","-8.6812","-8.6812","-163.7117","-163.7117","subaquatic","-4085","-4085","GABBRO","CUMULATE","","","extensively altered","SAPONITE","3","","","","secondary","44.7","","4.4","","","","8","","0.7","21.3","","","","","","","","20.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2003] CLAGUE D. A. (1976)","samp. ST11-78-23","OCEANIC PLATEAU","MANIHIKI PLATEAU / DANGER ISLANDS TROUGHS / DREDGE 78D","","-8.6812","-8.6812","-163.7117","-163.7117","subaquatic","-4085","-4085","GABBRO","CUMULATE","","","extensively altered","SAPONITE","4","","","","secondary","43.1","","4.8","","","","7.6","","0.7","22.4","","","","","","","","21.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2012] HART S. R. (1978)","samp. 53-418A-26-3,100","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 418","HOLE 418A","25.035","25.035","-68.058","-68.058","subaquatic","-5519","-5519","BASALT","","","","extensively altered","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","48.25","","","","","","","","","","","","","","","","","","","","","","","","","","0.70787","0.5877","","","","","",
"[2012] HART S. R. (1978)","samp. 53-418A-41-3,100","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 418","HOLE 418A","25.035","25.035","-68.058","-68.058","subaquatic","-5519","-5519","BASALT","","","","extensively altered","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.3","52.94","","","","","","","","","","","","","","","","","","","","","","","","","","0.71616","5.974","","","","","",
"[2012] HART S. R. (1978)","samp. 53-418A-51-1,28","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 418","HOLE 418A","25.035","25.035","-68.058","-68.058","subaquatic","-5519","-5519","BASALT","","","","extensively altered","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.521","41.76","","","","","","","","","","","","","","","","","","","","","","","","","","0.70671","0.03612","","","","","",
"[2012] HART S. R. (1978)","samp. 53-418A-56-5,129","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 418","HOLE 418A","25.035","25.035","-68.058","-68.058","subaquatic","-5519","-5519","BASALT","","","","extensively altered","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","58.32","","","","","","","","","","","","","","","","","","","","","","","","","","0.71136","3.624","","","","","",
"[2012] HART S. R. (1978)","samp. 53-418A-59-1,102","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 418","HOLE 418A","25.035","25.035","-68.058","-68.058","subaquatic","-5519","-5519","BASALT","","","","extensively altered","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.84","59.32","","","","","","","","","","","","","","","","","","","","","","","","","","0.70622","0.2364","","","","","",
"[2012] HART S. R. (1978)","samp. 53-418A-66-1,38","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 418","HOLE 418A","25.035","25.035","-68.058","-68.058","subaquatic","-5519","-5519","BASALT","","","","extensively altered","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.92","52.4","","","","","","","","","","","","","","","","","","","","","","","","","","0.70652","0.2163","","","","","",
"[2012] HART S. R. (1978)","samp. 53-418A-76-2,120","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 418","HOLE 418A","25.035","25.035","-68.058","-68.058","subaquatic","-5519","-5519","BASALT","","","","extensively altered","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.18","79.68","","","","","","","","","","","","","","","","","","","","","","","","","","0.70578","0.3697","","","","","",
"[2012] HART S. R. (1978)","samp. 53-418A-86-5,20","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 418","HOLE 418A","25.035","25.035","-68.058","-68.058","subaquatic","-5519","-5519","BASALT","","","","extensively altered","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.59","48.02","","","","","","","","","","","","","","","","","","","","","","","","","","0.70708","0.5433","","","","","",
"[2012] HART S. R. (1978)","samp. 51-417A-29-3,132","OCEANIC PLATEAU","BERMUDA RISE / BERMUDA RISE / SITE 417","HOLE 417A","25.112","25.112","-68.047","-68.047","subaquatic","-5478","-5478","BASALT","","","","","SMECTITE","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226.3","11.09","","","","","","","","","","","","","","","","","","","","","","","","","","0.79848","59.07","","","","","",
"[2161] KRISTMANNSDOTTIR H. (1975)","samp. 1","OCEAN ISLAND","ICELAND / ICELAND","NESJAVELLIR GEOTHERMAL AREA, DRILL CUTTINGS","64.1","64.1","-21.2","-21.2","subaerial","","","BASALT","","","","almost totally altered","CLAY MINERAL","","","","","secondary","45.61","1.03","9.25","","","21.8","","","2.98","8.62","","","","","0.1","0.57","","","","","","","","","","","10.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2161] KRISTMANNSDOTTIR H. (1975)","samp. 2","OCEAN ISLAND","ICELAND / ICELAND","NESJAVELLIR GEOTHERMAL AREA, DRILL CUTTINGS","64.1","64.1","-21.2","-21.2","subaerial","","","BASALT","","","","almost totally altered","CLAY MINERAL","","","","","secondary","43.07","1.09","13.45","","","19.95","","","5.43","9.18","","","","","0.1","0.5","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2161] KRISTMANNSDOTTIR H. (1975)","samp. 3","OCEAN ISLAND","ICELAND / ICELAND","NESJAVELLIR GEOTHERMAL AREA, DRILL CUTTINGS","64.1","64.1","-21.2","-21.2","subaerial","","","BASALT","","","","almost totally altered","CLAY MINERAL","","","","","secondary","39.67","1.71","14.11","","","25.02","","","3.95","9.15","","","","","0.4","0.74","","","","","","","","","","","6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2161] KRISTMANNSDOTTIR H. (1975)","samp. 4","OCEAN ISLAND","ICELAND / ICELAND","NESJAVELLIR GEOTHERMAL AREA, DRILL CUTTINGS","64.1","64.1","-21.2","-21.2","subaerial","","","BASALT","","","","almost totally altered","CLAY MINERAL","","","","","secondary","42.56","2.18","19.38","","","21.52","","","0.72","8.24","","","","","0.02","1.08","","","","","","","","","","","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2293] LAPIERRE H. (1992)","samp. 126-793B-92R-2,70-74","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793","HOLE 793B","31.1055","31.1055","139.8878","139.8878","subaquatic","-2975.3","-2975.3","ANDESITE, BASALTIC, 2-PYROXENE","","","","fresh","SAPONITE","","groundmass","","","secondary","51.9","0","5.02","","","","8.66","","1.57","21.01","0.16","","","","0.04","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2293] LAPIERRE H. (1992)","samp. 126-793B-100R-2,16-19","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793","HOLE 793B","31.1055","31.1055","139.8878","139.8878","subaquatic","-2975.3","-2975.3","ANDESITE, BASALTIC, 2-PYROXENE","","","","fresh","ILLITE","","","","","secondary","49.8","0.15","13.36","","","","5.67","","3.68","4.44","0.08","","","","1.35","2.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2293] LAPIERRE H. (1992)","samp. 126-793B-96R-1,77-81","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793","HOLE 793B","31.1055","31.1055","139.8878","139.8878","subaquatic","-2975.3","-2975.3","ANDESITE, BASALTIC, 2-PYROXENE","","","","fresh","ILLITE","","groundmass","","","secondary","47.4","0.14","14.88","0.02","","","8.6","","5.68","8.34","0.28","","","","0.16","1.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2293] LAPIERRE H. (1992)","samp. 126-793B-109R-3,50-55","CONVERGENT MARGIN","IZU-BONIN ARC / IZU-BONIN FORE-ARC / SITE 793","HOLE 793B","31.1055","31.1055","139.8878","139.8878","subaquatic","-2975.3","-2975.3","ANDESITE, BASALTIC, 2-PYROXENE","","","","fresh","ILLITE","","groundmass","","","secondary","56","0.21","12.95","","","","5.24","","2.5","7.2","0.27","","","","0.68","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2417] PEDERSEN A. K. (1985)","samp. 135956","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / VAIGAT FORMATION, NAUJANGUIT MEMBER","4.6 KM SOUTH OF THE ENTRANCE TO KUGANGUAQ ON THE EAST SIDE, DISKO (QEGERTARSSUAQ)","70.2464","70.2464","-53.8508","-53.8508","subaerial","","","BASALT","MICROPORPHYRITIC","","","","SMECTITE","","","","","secondary","48.2","0.28","5.12","","","","13.6","","1.27","15.4","","","","","0.55","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2417] PEDERSEN A. K. (1985)","samp. 135972","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / VAIGAT FORMATION, NAUJANGUIT MEMBER","KUGANGUAQ VALLEY, DISKO (QEGERTARSSUAQ)","70.2325","70.2325","-53.8667","-53.8667","subaerial","855","855","BASALT","PHYRIC","","","","SMECTITE","","","","","secondary","52.2","0.21","12.6","","","","8.34","","0.94","4.38","","","","","0.59","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2417] PEDERSEN A. K. (1985)","samp. 135961","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / VAIGAT FORMATION, NAUJANGUIT MEMBER","60 M BELOW THE BASE OF KUGANGUAQ MEMBER NE SIDE OF KUGANGUAQ VALLEY, DISKO (QEGERTARSSUAQ)","70.1117","70.1117","-53.7208","-53.7208","subaerial","450","450","BASALT","PORPHYRITIC","","","","SMECTITE","","","","","secondary","48.7","0.47","11.3","","","","15.7","","3.82","9.85","0.39","","","","0.22","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2417] PEDERSEN A. K. (1985)","samp. 138229","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / VAIGAT FORMATION, NAUJANGUIT MEMBER","FEEDER DIKE, KUGSSINIKAVSAK, DISKO (QEGERTARSSUAQ)","70.2361","70.2361","-53.6386","-53.6386","subaerial","465","465","BASALT","MICROPORPHYRITIC","","","","SMECTITE","","","","","secondary","49.2","0.09","4.73","0.18","","","13.7","","1.57","18.9","0.16","","","","0.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2417] PEDERSEN A. K. (1985)","samp. 135962","CONTINENTAL FLOOD BASALT","NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / WEST GREENLAND / VAIGAT FORMATION, NAUJANGUIT MEMBER","4.6 KM SOUTH OF THE ENTRANCE TO KUGANGUAQ ON THE EAST SIDE, DISKO (QEGERTARSSUAQ)","70.2464","70.2464","-53.8508","-53.8508","subaerial","","","ANDESITE","","","","","SMECTITE","","","","","secondary","53.9","","1.54","","","","13.1","","0.89","20.7","","","","","0.34","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 1","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SOUTHWEST RIFT ZONE / SHIELD STAGE / PAHALA ASH MEMBER","","19.22","19.22","-155.42","-155.42","subaerial","317","317","THOLEIITE","","","","","PALAGONITE","","","","","secondary","29.45","3.68","17.12","","","16.29","","1.82","1.7","1.38","0.08","","","","0.11","0.22","0.23","28.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 2","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SOUTHWEST RIFT ZONE / SHIELD STAGE / PAHALA ASH MEMBER","","19.22","19.22","-155.42","-155.42","subaerial","317","317","THOLEIITE","","","","","PALAGONITE","","","","","secondary","33.8","5.7","16.3","","","","21.5","","1.5","0.4","0.04","","","","0.06","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 3","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SOUTHWEST RIFT ZONE / SHIELD STAGE / PAHALA ASH MEMBER","","19.22","19.22","-155.42","-155.42","subaerial","317","317","THOLEIITE","","","","","PALAGONITE","","","","","secondary","35.5","3.4","17.1","","","","14.7","","1.4","0.5","0.15","","","","0.05","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 1","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","WESTERN SIDE OF KOKO CRATER","21.29","21.29","-157.64","-157.64","subaerial","","","NOT GIVEN","","","","extensively altered","PALAGONITE","","","","","secondary","47.7","4.1","9.3","","","","12.5","","5.4","1.7","","","","","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 2","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","WESTERN SIDE OF KOKO CRATER","21.29","21.29","-157.64","-157.64","subaerial","","","NOT GIVEN","","","","extensively altered","PALAGONITE","","","","","secondary","37.7","3.5","11","","","","15.9","","11.1","3.3","0.23","","","","0.56","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 3","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","LOWER UNIT OF KOKO CRATER, INSIDE THE CRATER","21.29","21.29","-157.64","-157.64","subaerial","","","NOT GIVEN","","","","extensively altered","PALAGONITE","","","","","secondary","41.8","4.3","9","","","","16.1","","2.5","7.8","","","","","1","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 4","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","EAST END OF KOKO CRATER","21.29","21.29","-157.64","-157.64","subaerial","","","NOT GIVEN","","","","extensively altered","PALAGONITE","","","","","secondary","37.3","3.3","9.9","","","","16.7","","","10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 5","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","LOWER UNIT OF KOKO CRATER, INSIDE THE CRATER","21.29","21.29","-157.64","-157.64","subaerial","","","NOT GIVEN","","","","extensively altered","PALAGONITE","","","","","secondary","45.7","3.7","9.8","","","","16.6","","3.1","8.5","0.2","","","","0.7","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[2793] HAY R. L. (1968)","samp. 5","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","LOWER UNIT OF KOKO CRATER, INSIDE THE CRATER","21.29","21.29","-157.64","-157.64","subaerial","","","NOT GIVEN","","","","extensively altered","PALAGONITE","","","","","secondary","41.9","3.7","9.7","","","","18.5","","2","8.9","0.2","","","","0.9","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3065] MEIJER A. (1981)","samp. 60-458-46-1,100-106","CONVERGENT MARGIN","MARIANA ARC / MARIANA FORE-ARC / SITE 458","HOLE 458","17.8642","17.8642","146.9343","146.9343","subaquatic","-3447","-3447","ANDESITE","FINE-TO MEDIUM-GRAINED, APHYRIC","","","","CLAY MINERAL","","","","","secondary","46.75","0","11.03","","","","24.56","","2.47","6.4","0.09","","","","1.04","0.25","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3065] MEIJER A. (1981)","samp. 60-458-46-1,100-106","CONVERGENT MARGIN","MARIANA ARC / MARIANA FORE-ARC / SITE 458","HOLE 458","17.8642","17.8642","146.9343","146.9343","subaquatic","-3447","-3447","ANDESITE","FINE-TO MEDIUM-GRAINED, APHYRIC","","","","CLAY MINERAL","","","","","secondary","38.49","0.24","10.58","","","","17.67","","2.53","4.45","0.14","","","","1.24","0.39","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3079] THORSETH I. H. (1991)","samp. PAL1","OCEAN ISLAND","ICELAND / ICELAND / KERLINGARFJÖLL","REYKJANES PENINSULA","64.39","64.39","-19.07","-19.07","subaerial","","","ANDESITE, BASALTIC","","","","","PALAGONITE","","","","","primary","63.6","1.14","9.54","","","","0.7","","2.88","0.47","0.02","","","","4.92","1.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3079] THORSETH I. H. (1991)","samp. PAL1","OCEAN ISLAND","ICELAND / ICELAND / KERLINGARFJÖLL","REYKJANES PENINSULA","64.39","64.39","-19.07","-19.07","subaerial","","","ANDESITE, BASALTIC","","","","","PALAGONITE","","","","","primary","60.4","1.35","10.26","","","","0.75","","3.21","0.56","0.01","","","","2.91","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3079] THORSETH I. H. (1991)","samp. PAL1","OCEAN ISLAND","ICELAND / ICELAND / KERLINGARFJÖLL","REYKJANES PENINSULA","64.39","64.39","-19.07","-19.07","subaerial","","","ANDESITE, BASALTIC","","","","","PALAGONITE","","","","","primary","68.51","0.6","11.05","","","","0.37","","3.45","0.7","0","","","","1.6","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3079] THORSETH I. H. (1991)","samp. PAL1","OCEAN ISLAND","ICELAND / ICELAND / KERLINGARFJÖLL","REYKJANES PENINSULA","64.39","64.39","-19.07","-19.07","subaerial","","","ANDESITE, BASALTIC","","","","","PALAGONITE","","","","","primary","62.25","0.4","9.97","","","","0.28","","3.83","0.71","0","","","","0.52","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3079] THORSETH I. H. (1991)","samp. PAL1","OCEAN ISLAND","ICELAND / ICELAND / KERLINGARFJÖLL","REYKJANES PENINSULA","64.39","64.39","-19.07","-19.07","subaerial","","","ANDESITE, BASALTIC","","","","","PALAGONITE","","","","","primary","53.47","0.28","8.4","","","","0.27","","2.98","0.57","0.01","","","","0.61","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[3079] THORSETH I. H. (1991)","samp. PAL1","OCEAN ISLAND","ICELAND / ICELAND / KERLINGARFJÖLL","REYKJANES PENINSULA","64.39","64.39","-19.07","-19.07","subaerial","","","ANDESITE, BASALTIC","","","","","PALAGONITE","","","","","primary","52.03","0.38","8.26","","","","0.33","","2.66","0.56","0","","","","0.63","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
