"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"11","[421] DALRYMPLE G. B. (1980)","samp. 430A-6-3","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / OJIN / SITE 430 / POST-SHIELD STAGE","HOLE 430A",37.9882,37.9882,-170.5977,-170.5977,"subaquatic",-1486,-1486,"HAWAIITE","MASSIVE, TRACHYTIC",0.052,0.063,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",34.5,0.1,8.5,0.06,22.9,0.14,16,0,0.21,1.3,0,18.6,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"12","[421] DALRYMPLE G. B. (1980)","samp. 430A-6-4,7-15","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / OJIN / SITE 430 / POST-SHIELD STAGE","HOLE 430A",37.9882,37.9882,-170.5977,-170.5977,"subaquatic",-1486,-1486,"HAWAIITE","MASSIVE, SUBTRACHYTIC",0.007,0.015,"slightly altered","CLAY MINERAL","430A_RB",NA,NA,NA,"secondary",43,0.02,5.6,0.03,9.8,0.05,17.6,0,1.1,1.36,0.05,18.6,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"13","[421] DALRYMPLE G. B. (1980)","samp. 430A-6-4,7-15","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / OJIN / SITE 430 / POST-SHIELD STAGE","HOLE 430A",37.9882,37.9882,-170.5977,-170.5977,"subaquatic",-1486,-1486,"HAWAIITE","MASSIVE, SUBTRACHYTIC",0.007,0.015,"slightly altered","CLAY MINERAL","430A_I","groundmass",NA,NA,"secondary",38,0.06,8.8,0,14.68,0.15,17.2,0.18,0.07,1.1,0.28,18,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"14","[421] DALRYMPLE G. B. (1980)","samp. 430A-6-4,140-150","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / OJIN / SITE 430 / POST-SHIELD STAGE","HOLE 430A",37.9882,37.9882,-170.5977,-170.5977,"subaquatic",-1486,-1486,"THOLEIITE","MASSIVE GLOMEROPORPHYRITIC, INTERGRANULAR",0.14,0.15,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",47,0.15,4.5,0,12.26,0.34,13,0.09,0.58,1.6,0,14.43,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"15","[421] DALRYMPLE G. B. (1980)","samp. 432A-3-2","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / NINTOKU / SITE 431 / POST-SHIELD STAGE","HOLE 432A",41.3338,41.3338,-170.379,-170.379,"subaquatic",-1320,-1320,"BASALT, ALKALINE","MASSIVE PORPHYRITIC",0.12,0.126,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",47.2,0.07,4,0,16.85,0.2,14.2,0.04,0.65,1.1,0,7.98,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"16","[421] DALRYMPLE G. B. (1980)","samp. 432A-5-2","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / NINTOKU / SITE 431 / POST-SHIELD STAGE","HOLE 432A",41.3338,41.3338,-170.379,-170.379,"subaquatic",-1320,-1320,"BASALT, ALKALINE","MASSIVE PORPHYRITIC, OPHITIC",0.057,0.066,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",38.8,0.14,6.4,0,17.86,0.19,15.6,0.18,0.18,1.2,0,21.4,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"17","[421] DALRYMPLE G. B. (1980)","samp. 55-433A-21-4","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE","HOLE 433A",44.7772,44.7772,-170.0205,-170.0205,"subaquatic",-1862,-1862,"BASALT, ALKALINE","MASSIVE PORPHYRITIC",0.129,0.138,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",38.6,0.14,6.7,0,17.42,0.16,13.4,0,0.17,1.7,0.38,18,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"18","[421] DALRYMPLE G. B. (1980)","samp. 433B-5-2","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / POST-SHIELD STAGE","HOLE 433B",44.7772,44.7772,-170.0205,-170.0205,"subaquatic",-1874,-1874,"BASALT, ALKALINE","MASSIVE PORPHYRITIC",0.061,0.068,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",40.2,0.12,5.3,0,18.38,0.08,12.4,0.07,0.34,1.8,0.05,17.54,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"19","[421] DALRYMPLE G. B. (1980)","samp. 55-433C-15-6","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE","HOLE 433C",44.7772,44.7772,-170.0205,-170.0205,"subaquatic",-1874,-1874,"THOLEIITE","MASSIVE MICROPORPHYRITIC",0.016,0.031,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",45.1,0.17,6.3,0.06,12.12,0.29,14.2,0.02,0.09,2.24,0.06,21.4,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"20","[421] DALRYMPLE G. B. (1980)","samp. 55-433C-28-2","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE","HOLE 433C",44.7772,44.7772,-170.0205,-170.0205,"subaquatic",-1874,-1874,"THOLEIITE","MASSIVE PORPHYRITIC",0.073,0.08,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",45.9,0.34,4.3,0,22.76,0.48,15.3,0,0.14,1.73,0.28,18.6,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
