"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"130","68847","samp. 060545","FELDSPAR","ANORTHOCLASE","NOT GIVEN",66.7,0.42,18.29,0.1,0.68,0.01,0.01,0.02,6.13,7.09,0.0323666957618729,0,0.03,0.01,0.02,0,0,0,0,0,0,0,99.5423666957619
"131","68849","samp. 060501","FELDSPAR","ANORTHOCLASE","PANTELLERITE",66.49,0.16,18.84,0.0139250663651704,0.78,0.18,0.0697609909059845,0.08982141,6.24,6.99,0.06,0,0,0.0121,0.008,0,0,0,0,0,0,0,99.9336074672711
"132","68851","samp. 060506","FELDSPAR","ANORTHOCLASE","PANTELLERITE",66.24,1.57,18.53,0.027,0.93,0.01,0.0444,0.1382,5.83,6.94,0.08,0,0.03,0.04,0.0114,0,0,0,0,0,0,0,100.421
"133","70210","samp. KM","FELDSPAR","ANORTHOCLASE","BASANITE",63.85,0.59,21.47,0.1,0.41,2.42,0.11,0.02,5.09,6.05,0,0,0.776,0.04,0.01,0,0,0,0,0,0,0,100.936
"134","70896","samp. RSM 1","FELDSPAR","ANORTHOCLASE","NOT GIVEN",64.24,0.013,21.47,0,0.06,2.04,0.02,0.003,3.31,8.57,0.2195,0,0,0.01,0.016,0,0,0,0,0,0,0,99.9715
"135","70897","samp. RSM 1","FELDSPAR","ANORTHOCLASE","NOT GIVEN",63.6,0.0128,21.22,0,0.06,2.05,0.02,0.02,6.41,6.24,0,0,0,0.017,0,0,0,0,0,0,0,0,99.6498
"136","72870","samp. PANT2A1","FELDSPAR","ANORTHOCLASE","PANTELLERITE",66.8,0.17,18.6,0,0.9,0,0.0139099578620537,0.0114,6.2,7.4,0.01,0,0,0,0.0064,0,0,0,0,0,0,0,100.111709957862
"137","72871","samp. PANT2A1","FELDSPAR","ANORTHOCLASE","PANTELLERITE",66.8,0.13,18.6,0.009,1,0,0,0,6.3,7.3,0,0,0,0,0.01,0,0,0,0,0,0,0,100.149
"138","72872","samp. PANT2A1","FELDSPAR","ANORTHOCLASE","PANTELLERITE",66.9,0.210210765722144,18.4,0.009,0.9,0.1,0.0137,0,6.2,7.4,0.2376,0,0,0,0.01,0,0,0,0,0,0,0,100.380510765722
"139","72873","samp. PANT2A1","FELDSPAR","ANORTHOCLASE","PANTELLERITE",66.4,0.07,19.3,0.0276,0.3,0.2,0,0.025,5.8,7.5,0.0354,0,0,0.003,0.03,0,0,0,0,0,0,0,99.691
"140","75225","samp. BA18","FELDSPAR","ANORTHOCLASE","TRACHYTE, PERALKALINE",67.93,0.06,17.94,0,0.58,0.1,0.01,0,4.92,8.7,0.09,0,0,0,0.04,0,0,0,0,0,0,0,100.37
"141","75226","samp. BA18","FELDSPAR","ANORTHOCLASE","TRACHYTE, PERALKALINE",66.38,0.05,17.88,0.033,0.99,0.21,0.03,0,5.68,8.02,0.036,0,0.01,0.008,0.24,0,0,0,0,0,0,0,99.567
"142","75227","samp. BA54","FELDSPAR","ANORTHOCLASE","TRACHYTE, PERALKALINE",67.44,0,18.63,0.0272,0.57,0.03,0.04,0,6.29,7.35,0,0,0.082,0.01,0,0,0,0,0,0,0,0,100.4692
