"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"12","[904] AHIJADO A. (1990)","samp. 4","OCEAN ISLAND","CANARY ISLANDS / FUERTEVENTURA","JAND<cd>A PENINSULA, JABLE DE LAS SALINAS COMPLEX, AMANAY MASSIF",28,28,-14.5,-14.5,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.16,0,0.017,0.006,0.14,50.47,0.01,0.03,0.01,0.04,48.25,0.755641524098199,1.15,0.3731,0,0,0,0,0,0,0,0,"APATITE"
"13","[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE",NA,28,28.6,-16.1,-16.9,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.15,0.002,0.08393916,0.012,0.109,48.4,0.057,0.07,0.11334746557607,1.38,37.9,0.0908614093189055,4.48,0,0,0,0,0,0,0,0.02,0.1,"APATITE"
"14","[1112] MACDONALD R. (1990)","samp. HSK26","OCEAN ISLAND","ICELAND / ICELAND / TORFAJ<d6>KULL / EASTERN ICELAND RIFT ZONE","HRAFNTINNUSKER",63.9,63.9,-18.97,-18.97,"subaerial",NA,NA,"RHYOLITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",3.66,0.09,0.17,0.06,0.27,49.96,0.09,0.28,0.27,0.231,38.12,0.693870638302443,2.22,0.096,0.028,0,0,0,0,0,0.17,0.08,"APATITE"
"15","[1321] IMSLAND P. (1984)","samp. JAN168","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRACHYTE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.97,0,0.1438388,0.0348,0.79,49.83,0.23,0.25,0.0454,0.3082885,38.45,0.89,1.34,0.43,0.01,0,0,0,0,0,0.08,0.08,"APATITE"
"16","[1321] IMSLAND P. (1984)","samp. JAN175","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRISTANITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.56,0.043,0.1619481,0.02,0.28,49.87,0.06,0.26,0.15,0.162,39.04,0.288158529390858,3.39,0.09,0.01,0,0,0,0,0,0.02,0,"APATITE"
"17","[1321] IMSLAND P. (1984)","samp. JAN37","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRISTANITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.34,0,0.195,0,0.52,51.51,0.29,0.1,0.072,0.29,39.88,0.871055232289323,1.7,0.38,0,0,0,0,0,0,0.01,0,"APATITE"
"18","[1321] IMSLAND P. (1984)","samp. JAN70","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRISTANITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.24,0,0.02,0.038,0.4,52.14,0.29,0.1,0.00494604536186565,0.337,42.54,0.880597712336663,0.91,0.33,0,0,0,0,0,0,0.01,0.5748,"APATITE"
"19","[1321] IMSLAND P. (1984)","samp. JAN89","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"TRISTANITE",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.26,0.05,0.143707584147871,0.026,0.35,52.14,0.24,0.11,0.044,0.326,40.08,0.431474843260102,2.53,0.34,0.02,0,0,0,0,0,0.01,0.04,"APATITE"
"20","[1321] IMSLAND P. (1984)","samp. JAN52","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE","PORPHYRITIC",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.24,0.04,0.03,0.02,1.11,53,0.54,0.13,0.004,0.578,41.11,0.964536593021501,1.68,0.27,0.02,0,0,0,0,0,0,0.06,"APATITE"
"21","[1321] IMSLAND P. (1984)","samp. JAN69","OCEAN ISLAND","JAN MAYEN / JAN MAYEN",NA,71,71,-8.5,-8.5,"subaerial",NA,NA,"BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE","PORPHYRITIC",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.17,0.004,0,0,1.03,52.01,0.34,0.14,0,0.105302,40.51,0.495499573113202,2.46,0.3,0,0,0,0,0,0,0,0.04,"APATITE"
