id,SAMPLE,GROUP,MINERAL,ROCK,SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,X1_1
1,samp. 2016KL17B/15D071H5,AMPHIBOLES,ACTINOLITE,"DIORITE, GABBROIC",52.84,0.24,3.72,0.27,13.63,12.12,13.65,0.3,0.12,0.47,0.019,2.129705858,0.07,0.050161,0.08,0,0,0,0,0,0.057,0,NA
2,samp. 2,AMPHIBOLES,ACTINOLITE,BASALT,49.43,0.11,6.35,0.229,18.825,18.33,9.02,0.51,0,1.17,0.18,2.07,0.2123,0.076,0.033,0,0,0,0,0,-0.0028,0,NA
3,samp. 7-745,AMPHIBOLES,ACTINOLITE,SYENITE,53.65485558,0.159,2.351609018,0.062,9.373135764,12.29550534,17.71188914,0.268,0.187937874,0.675,0.012,2.05,0.290098475,0.022,0.083,0,0,0,0,0,0.0511,0,NA
4,samp. ACT 7,AMPHIBOLES,ACTINOLITE,BASALT,55.88,0.11,3.21,0.42,6.82,12.45,18.78,0.25,0.03,0.29,0.014408,2.159871551,0.16,0.012965,0.05,0,0,0,0,0,0,0,NA
5,samp. MAR14-24,AMPHIBOLES,ACTINOLITE,DIORITE,48.495,0.372,7.358,0.076,16.145,12.29,10.961,0.241,0.609,0.548,0,2.098426407,0.154,0.06,0.01,0,0,0,0,0,0,0,NA
6,samp. ST01,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.64,0.22,4.01,0.09,9.23192,12.23,16.66,0.07,0.08,0.2,0.024351,2.03,0.615,0.017927,0,0,0,0,0,0,0.164,0,NA
7,samp. MC066A,AMPHIBOLES,ACTINOLITE,KOMATIITE,53.2,0.08,3.86,0,14.4,12.69,14.61,0.23,0.21,0.27,0,2.13,0.06,0.02,0.004,0,0,0,0,0,0.075,0,NA
8,samp. RB1505,AMPHIBOLES,ACTINOLITE,NOT GIVEN,51.141445,0.826352,4.094418,0.02,14.966835,11.808702,14.436463,0.325977,0.342547,0.637921,0.013,2.01,0.22,0.070201,0,0,0,0,0,0,0,0,NA
9,samp. RBEP-010,AMPHIBOLES,ACTINOLITE,NOT GIVEN,54.39,0.19,1.64,0.003301112,12.65,12.46,15.95,0.41,0.03,0.22,0.022828,2.24613378,0.063,0,0,0,0,0,0,0,0.02,0,NA
10,samp. GH177-2,AMPHIBOLES,ACTINOLITE,ANDESITE,53.78,0.09,3,0.0639,11.91,11.88,15.63,0.46,0.12,0.32,0.013831766,1.993,0,0.02,0.005,0,0,0,0,0,0.0938,0,NA
11,samp. SCR-6,AMPHIBOLES,ACTINOLITE,NOT GIVEN,54.2,0.2556,1.4025,0,13.4,11.73,15.99,0.4481,0.1421,0.7063,0.013,2.04,0,0.03219,0.0058,0,0,0,0,0,0.075,0,NA
12,samp. 15ZB118-2,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.5,0.351,2.52,0.006754,17.8,11.5,10.8,0.581,0.258,0.878,0,2.01,0.1,0.025,0.0045,0,0,0,0,0,0.1149,0,NA
13,samp. 226/2,AMPHIBOLES,ACTINOLITE,HORNBLENDITE,54.1456,0.3059,2.8233,0.06,9.0056,12.2242,18.5299,0.182,0.0409,0.3702,0.026,2.07,0.2057,0.017,0.0188,0,0,0,0,0,0.0937,0,NA
14,samp. LY-1,AMPHIBOLES,ACTINOLITE,GRANITE,51.57,0.36,3.25,0,12.27,11.54,15.85,0.68,0.37,1.13,0,1.95,0.14,0.119,0,0,0,0,0,0,0,0,NA
15,samp. 08AET045,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.458,0.634,4.472,0.06,12.846,11.676,13.924,0.396,0.391,1.116,0.11,1.77,0.22,0.069736,0.16,0,0,0,0,0,0.126,0,NA
16,samp. Q4,AMPHIBOLES,ACTINOLITE,ANDESITE,50.92,0.36,3.38,0.02,15.44,11.76,14.08,0.53,0.2,0.57,0,2.03,0.1,0,0.005432381,0,0,0,0,0,0.017,0,NA
17,samp. TV1,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.277,0,1.603,0.089,11.985,11.547,16.229,0.329,0,0.144,0,2,0.022,0,0.0097,0,0,0,0,0,0,0,NA
18,samp. SS.25,AMPHIBOLES,ACTINOLITE,"GABBRO, PYROXENE",53.21,0.26,1.92,0.26,10.22,11.56,19.11,0.31,0.21,0.63,0,2.01,0.21,0.03,0.06,0,0,0,0,0,0.04,0,NA
19,samp. DR-1,AMPHIBOLES,ACTINOLITE,SYENITE,50.86,0.19,6.78,0.434575,6.83,12.69,18.22,0.25,0.24,0.9,0,2.03,0.24,0,0,0,0,0,0,0,0.02,0,NA
20,samp. 565464,AMPHIBOLES,ACTINOLITE,AMPHIBOLITE,53.2056,0.300989,2.8275,0.286374,9.10105,11.8474,18.7037,0.263147,0.244584,0.575786,0,2.042668757,0,0.034355,0.03394,0,0,0,0,0,1.326,0,NA
21,samp. S-8,AMPHIBOLES,ACTINOLITE,DACITE,51.489,0.215,3.745,0,12.314,13.021,14.748,0.428,0.302,0.615,0,2.03,0,0.03,0.0098,0,0,0,0,0,0.0309,0,NA
22,samp. VS-2,AMPHIBOLES,ACTINOLITE,LAMPROITE,56.18,0.02,0.98,0,11.36,11.37,16.09,0.17,0.05,0.14,0,2.485149365,0,0.02,0.01,0,0,0,0,0,0.0695,0,NA
23,samp. Z36408,AMPHIBOLES,ACTINOLITE,"LAMPROPHYRE, CALC-ALKALINE",54.68,0.1283,2.02,0.1442,8.67,12.69,18.39,0.0698,0.0426,0.5135,0.01,2.042316755,0.1627,0.0042,0.02,0,0,0,0,0,0.042,0,NA
24,samp. ZN12-16-2,AMPHIBOLES,ACTINOLITE,NOT GIVEN,50.57,0.15,4.12,0.04,10.47,11.6,16.66,0.59,0.4,0.64,0,2.07,1.13,0.04,0.02,0,0,0,0,0,0.0444,0,NA
25,samp. HC1305,AMPHIBOLES,ACTINOLITE,NOT GIVEN,50.594261,0.503636,2.751165,0.234,17.86758,11.124595,12.94677,0.476893,0.248806,0.685043,0.02,1.849606938,0.1839,0.074721,0.01,0,0,0,0,0,0.118,0,NA
26,samp. TV1,AMPHIBOLES,ACTINOLITE,NOT GIVEN,50.426,0,4.089,0,14.547,11.244,14.385,0.41,0.06,0.369,0.009,2.03,0.01,0,0.005345004,0,0,0,0,0,0,0,NA
27,samp. RB1604,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.671188,0.540319,3.337971,0.12578,9.543218,12.527907,18.259645,0.199279,0.206954,0.433981,0,2.05,0.12,0.032242,0.0525,0,0,0,0,0,0.1895,0,NA
28,samp. SER-24,AMPHIBOLES,ACTINOLITE,NOT GIVEN,55.07,0.12,1.64,0.04,6.77,13.14,19.78,0.1,0.24,0.48,0.254,2.03,0.15,0.016,0.065,0,0,0,0,0,0.036,0,NA
29,samp. 15ZB118-3,AMPHIBOLES,ACTINOLITE,NOT GIVEN,50.4,0.44,3.05,0.0094,19.5,11.4,10.6,0.492,0.365,0.867,0,2.139791114,0.33,0.046,0,0,0,0,0,0,0.0209,0,NA
30,samp. FB90,AMPHIBOLES,ACTINOLITE,"MONZODIORITE, QUARTZ",50.89,0.21,1.98,0,22.32,11.76,9.93,0.65,0.16,0.39,0.03,1.98,0.09,0.01,0.03,0,0,0,0,0,0.017,0,NA
31,samp. C50.4,AMPHIBOLES,ACTINOLITE,NOT GIVEN,44.93,1.55,0.49,10.98,11.31,11.98,15.61,0.1,0.26,1.7,0.03,2.08,0.82,0,0.03,0,0,0,0,0,0.067,0,NA
32,samp. SE126-1-2,PYROXENE,AEGERINE,NOT GIVEN,52.51,0.03,0.24,0,30.16,0.03,0,0.24,0.01,13.77,0.09,0,0,0,0.03,0,0,0,0,0,1.42,0,NA
33,samp. SE19-4-2,PYROXENE,AEGERINE,NOT GIVEN,50.43,1.74,0.19,0.01,28.17,7.33,0,0.36,0,9.19,0.1613,0,0,0,0.007,0,0,0,0,0,1.84,0,NA
34,samp. 15779,PYROXENE,AEGERINE,COMENDITE,51.92,3.21,0.25,0.03,27.25,0.31,0,0.4,0.02,13.15,0,0,0,0,0.015,0,0,0,0,0,0.45,0,NA
35,samp. MPD17,PYROXENE,AEGERINE,"SYENITE, QUARTZ",52.21,5.12,0.01,0.08,25.91,1.39,0,0.54,0,13.07,0.1,0,0,0,0.07,0,0.01,0,0,0,1.46,0,NA
36,samp. SE126-2-1,PYROXENE,AEGERINE,NOT GIVEN,52.82,1.33,0.47,0,29.45,0.65,0,0.17,0,13.39,0.01,0,0,0,0,0,0.01,0,0,0,0.66,0,NA
37,samp. 26,PYROXENE,AEGERINE,COMENDITE,51.84,1.25,0.1,0,29.24,1.38,0,0.38,0.19,13,0.52,0,0,0,0.02,0,0,0,0,0,11.41,0,NA
38,samp. MPD1,PYROXENE,AEGERINE,"SYENITE, QUARTZ",51.88,4.42,0.21,0,26.17,1.77,0,0.22,0.04,12.39,0.19,0,0,0,0.06,0,0.01,0,0,0,0.66,0,NA
39,samp. MPD7,PYROXENE,AEGERINE,"SYENITE, QUARTZ",51.28,0.19,0.29,0.02,29.98,0.63,0,0.25,0,13.22,0.01,0,0,0,0.014,0,0,0,0,0,1.14,0,NA
40,samp. TM122,PYROXENE,AEGERINE,RHYOLITE,51.72,1.06,0.27,0.007613816,32.09,0.26,0,1.56,0.01,10.11,0.09,0,0,0,0.01,0,0,0,0,0,1.5,0,NA
41,samp. SE126-4-1,PYROXENE,AEGERINE,NOT GIVEN,52.56,0.85,0.4,0,29.79,0.46,0.01,0.14,0.02,13.45,0.1783,0,0,0,0.01,0,0,0,0,0,1.68,0,NA
42,samp. SE126-1-3,PYROXENE,AEGERINE,NOT GIVEN,52.39,0.04,0.49,0,30.04,0.04,0.02,0.29,0.01,13.56,0.12,0,0,0,0,0,0,0,0,0,1.24,0,NA
43,samp. SE126-2-3,PYROXENE,AEGERINE,NOT GIVEN,52.59,1.55,0.34,0,29.11,0.41,0,0.17,0.01,13.52,0.143,0,0,0,0.05,0,0.01,0,0,0,0.59,0,NA
44,samp. SE126-2-2,PYROXENE,AEGERINE,NOT GIVEN,52.01,0.04,0.19,0,30.24,0.03,0,0.19,0,13.71,0.6,0,0,0,0.07,0,0.167,0,0,0,6.82,0,NA
45,samp. SE126-4-2,PYROXENE,AEGERINE,NOT GIVEN,53.17,0.03,0.4,0,30.21,0.02,0,0.54,0,13.81,0.13,0,0,0,0.016,0,0,0,0,0,0.13,0,NA
46,samp. KU1,PYROXENE,AEGIRINE,RHYOLITE,52.54,2.29,0.72,0.1,27.09,1.6,0.42,0.33,0.03,13,0.11,0,0,0,0.067,0,0,0,0,0,0.2,0,NA
47,samp. HOL-14,PYROXENE,AEGIRINE,"NEPHELINITE, WOLLASTONITE",50.46,0.62,1.32,0.2,18.47,19.36,6.74,0.57,0.2,2.78,0.09,0,0,0,0.19,0,0.18,0,0,0,0,0,NA
48,samp. SX3,PYROXENE,AEGIRINE,"SYENITE, NEPHELINE",50.69,2.44,0.97,0.025,23.63,3.36,1.21,0.72,0.02,12.26,0.12,0,0,0,0,0,0,0,0,0,0.78,0,NA
49,samp. 506,PYROXENE,AEGIRINE,PANTELLERITE,48.89,0.66,1.16,0.01,26.47,17.99,0.2,0.95,0.05,2.93,0.02,0,0,0,0,0,0,0,0,0,0.24,0,NA
50,samp. KU1,PYROXENE,AEGIRINE,RHYOLITE,52.1,1.15,0.63,0.08,26.56,4.34,0.7,0.51,0.02,10.89,0.1176,0,0,0,0.011,0,0,0,0,0,0.26,0,NA
51,samp. TU20,PYROXENE,AEGIRINE,BASALT,51.43,0.24,0.59,0.81,24.76,10.12,1.84,0.77,0.05,8.07,0.144,0,0,0,0.03,0,0.085,0,0,0,0.66,0,NA
52,samp. MPD15,PYROXENE,AEGIRINE,GRANITE,52.32,0.94,0.17,0.011,29.57,0.47,0.06,0.87,0,13.47,0.097,0,0,0,0.009,0,0,0,0,0,0.07,0,NA
53,samp. W120,PYROXENE,AEGIRINE,PHONOLITE,51,0.8,0.7,0.01,23.9,12.6,3.1,1,0.02,4,0.09,0,0,0,0,0,0,0,0,0,0.49,0,NA
54,samp. SX3,PYROXENE,AEGIRINE,"SYENITE, NEPHELINE",50.8,1.17,1.02,0,26.77,6.32,2.43,0.86,0.04,9.98,0.21,0,0,0,0.0697,0,0,0,0,0,0.59,0,NA
55,samp. AEG-AUGITE3,PYROXENE,AEGIRINE,NOT GIVEN,48.45,1.15,2.09,0.013,19.82,17.87,5.35,0.49,0.22,3.49,0.1,0,0,0,0.04,0,0,0,0,0,0.25,0,NA
56,samp. G4,PYROXENE,AEGIRINE,CAMPTONITE,52.25,0.53,0.33,0.265084648,29.12,0.24,0.38,0.09,0.01,13.23,0.1869,0,0,0,0.022,0,0.113,0,0,0,0.66,0,NA
57,samp. TMZ22,PYROXENE,AEGIRINE,GLIMMERITE,51.89,3.85,0.32,0,27.079,0.58,0.29,0.16,0,13.43,0.06,0,0,0,0.01,0,0.01,0,0,0,0.73,0,NA
58,samp. TM4,PYROXENE,AEGIRINE,RHYOLITE,50.22,2.32,0.43,0.008,30.25,1.78,0.95,4.15,0.06,8.25,0.12,0,0,0,0,0,0,0,0,0,0.24,0,NA
59,samp. SX3,PYROXENE,AEGIRINE,"SYENITE, NEPHELINE",51.32,1.34,1.13,0.01,26.58,4.47,1.91,0.64,0.04,11.14,0.06,0,0,0,0,0,0.01,0,0,0,0.54,0,NA
60,samp. EG6,PYROXENE,AEGIRINE,CAMPTONITE,51.43,3.96,1.06,0.01,23.63,3.55,0.14,0.56,0,12.4,0.11,0,0,0,0.06,0,0.01,0,0,0,1.5,0,NA
61,samp. 93804 TM,PYROXENE,AEGIRINE,SYENITE,51.84,0.43,0.95,0,28.86,1.99,0.04,0.45,0.01,11.85,0.06,0,0,0,0.04,0,0,0,0,0,0.9,0,NA
62,samp. KALKFELD,PYROXENE,AEGIRINE,GRANITE,51.56,0.68,0.26,0.018,21.59,14.28,4.11,0.56,0.01,6.42,0.06,0,0,0,0.03,0,0,0,0,0,0.33,0,NA
63,samp. 2E,PYROXENE,AEGIRINE,TRACHYTE,51.77,3.51,0.16,0.085,26.659,3.77,1.48,1.38,0.01,10.92,0.05,0,0,0,0,0,0.01,0,0,0,0.54,0,NA
64,samp. KG538,PYROXENE,AEGIRINE,GABBRO,46.59,1.13,0.79,0.009,24.81,18.01,0.27,0.43,0.03,0.28,0.06,0,0,0,0.0032,0,0,0,0,0,0.73,0,NA
65,samp. SX3,PYROXENE,AEGIRINE,"SYENITE, NEPHELINE",52.39,1.7,0.67,0.03,27.269,6.25,2.03,0.71,0.17,10.38,0.12,0,0,0,0.073,0,0,0,0,0,0.73,0,NA
66,samp. SMG126,PYROXENE,AEGIRINE,"BENMOREITE, NEPHELINE",49.45,0.44,0.17,0,22.43,18.48,4.38,0.41,0.01,1.07,0.05,0,0,0,0.04,0,0,0,0,0,0.25,0,NA
67,samp. HR102,PYROXENE,AEGIRINE,"NEPHELINITE, MELILITE",47.95,1.9,1.2,0.03,21.68,16.35,3.09,2.21,0,4.5,0.1504,0,0,0,0.1,0,0.04,0,0,0,0.21,0,NA
68,samp. N152,PYROXENE,AEGIRINE,NOT GIVEN,52.81,0.57,0.19,0.021,24.52,8.09,4.07,0.51,0.03,9.36,0.05,0,0,0,0.031,0,0.06,0,0,0,0.48,0,NA
69,samp. SE14-1-2,PYROXENE,AEGIRINE,NOT GIVEN,51.77,0.64,0.13,0,29.48,5.39,0.02,0.29,0,10.33,0,0,0,0,0.02,0,0.01,0,0,0,1.65,0,NA
70,samp. KU1,PYROXENE,AEGIRINE,RHYOLITE,51.62,0.47,0.71,0.01,26.54,7.26,1.02,0.59,0,9.43,0.1841,0,0,0,0,0,0.01,0,0,0,0.24,0,NA
71,samp. FR893.7,PYROXENE,AEGIRINE,BENMOREITE,52.93,1.34,0.42,0,29.5,0.44,0.02,0.41,0.02,13.61,0.05,0,0,0,0.02,0,0.01,0,0,0,0.24,0,NA
72,samp. TM80,PYROXENE,AEGIRINE,TRACHYTE,50.73,2.21,0.2,0,25.42,5.46,2.27,1.74,0.02,10,0.06,0,0,0,0.01,0,0,0,0,0,0.2,0,NA
73,samp. TM121,PYROXENE,AEGIRINE,TRACHYTE,52.05,6.2,0.41,0.02,23.45,0.49,0.13,2.14,0.09,13.01,0.06,0,0,0,0,0,0.01,0,0,0,2.8,0,NA
74,samp. 28348/2,PYROXENE,AEGIRINE,SYENITE,49.44,0.58,2.41,0.01,17.03,15.85,6.88,3.15,0,4.64,0.09,0,0,0,0,0,0.01,0,0,0,0.14,0,NA
75,samp. POK-3,PYROXENE,AEGIRINE,"PHONOLITE, PERALKALINE",53.14,1.42,0.6,0.02,29.37,1.69,0.43,0.28,0,12.52,0,0,0,0,0.014,0,0,0,0,0,0,0,NA
76,samp. KBU4DYKE2,PYROXENE,AEGIRINE,SYENITE,52.38,5.77,0.52,0.01,28.43,0.52,1.71,0.28,0,13.43,0.56,0,0,0,0,0,0,0,0,0,0.61,0,NA
77,samp. JR98-31A,PYROXENE,AEGIRINE,RHYOLITE,52.47,3.24,0.18,0,27.22,2.12,0.05,0.68,0.04,12.06,0,0,0,0,0.02,0,0.01,0,0,0,0.73,0,NA
78,"samp. 67-500-18-1, 36",PYROXENE,AEGIRINE,BASALT,51.7,0.48,16.8,0.09,8.5,9.1,5,0.08,0.49,3,0.177,0,0,0,0.1,0,0.11,0,0,0,0.78,0,NA
79,samp. 7772501-2,PYROXENE,AEGIRINE,"DIABASE, ALKALINE",52.93,1.66,1.1,0,29.25,0.23,0.1,0.1,0.17,12.6,0.06,0,0,0,0.03,0,0,0,0,0,0.97,0,NA
80,samp. XENOLITHB,PYROXENE,AEGIRINE,NOT GIVEN,53.12,0.31,0.27,0.04,24.48,12.63,4.49,0.75,0.06,5.48,0.09,0,0,0,0.04,0,0.01,0,0,0,0.33,0,NA
81,samp. N105,PYROXENE,AEGIRINE,TRACHYTE,51.42,4.14,0.24,0.12,24.93,2.63,0.01,2.35,0.06,12.29,0.1504,0,0,0,0.077,0,0.04,0,0,0,0.07,0,NA
82,samp. 98527,PYROXENE,AEGIRINE,NOT GIVEN,49.24,0.29,0.15,0,27.12,16.59,2.41,1.64,0.01,2.35,0.63,0,0,0,0.02,0,0.04,0,0,0,0.59,0,NA
83,samp. FD8,PYROXENE,AEGIRINE,CAMPTONITE,52.81,1.55,0.8,0.01,27.48,1.42,0.09,0.22,0,13.29,0.18,0,0,0,0.01,0,0.06,0,0,0,0,0,NA
84,samp. 03-OLT1,PYROXENE,AEGIRINE,TRACHYTE,51.04,0.24,0.9,0.01,25.35,9.31,1.25,0.86,0.06,7.46,0.19,0,0,0,0.033,0,0,0,0,0,0.66,0,NA
85,samp. TMZ298,PYROXENE,AEGIRINE,MALIGNITE,50.99,0.29,0.76,0,25.2,10.94,0.88,1.07,0.02,7.4,0.06,0,0,0,0,0,0,0,0,0,0.24,0,NA
86,samp. KU1,PYROXENE,AEGIRINE,RHYOLITE,51.75,0.24,1.18,0.01,20.15,12.97,4.34,1.26,0.05,5.94,0.25,0,0,0,0,0,0,0,0,0,0.31,0,NA
87,samp. MC27,PYROXENE,AEGIRINE,"SYENITE, NEPHELINE",50.12,0.36,0.91,0,24.17,10.52,1.14,1.5,0,7.09,0.097,0,0,0,0.07,0,0,0,0,0,0.33,0,NA
88,samp. SMG126,PYROXENE,AEGIRINE,"BENMOREITE, NEPHELINE",49.79,1,0.09,0.008,28.67,4.7,0.88,0.18,0.01,9.27,0.6,0,0,0,0.038,0,0,0,0,0,11.41,0,NA
89,samp. TC0248,SULFIDE,ALABANDITE,"LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,22.85791612,0.16,0,0,0.01,0.63,0,0,0,0,58.00456104,1.71507286,1.89446795,0.13691799,0.7540659,33.94,0,0.12,NA
90,samp. TC0248,SULFIDE,ALABANDITE,"LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,24.15697544,0.51,0,0,0.11,0.2,0,0,0,0,54.95034984,2.01552358,2.6700555,9.26063496,0.16158555,35.32,0,0,NA
91,samp. P-20,SULFIDE,ALABANDITE,"PERIDOTITE, XENOLITH",0,0,0,0,25.71170069,0.51,0,0,0.11,1.66,0,0,0,0,53.60013397,0,0.38652232,0,0.11849607,36.78,0,0.02,NA
92,samp. MX45,SULFIDE,ALABANDITE,"ECLOGITE, XENOLITH",0,0,0,0,25.566593,0.16,0,0,0.51,0.2,0,0,0,0,32.9600292,9.0135216,1.9071825,0.07468254,0.06463422,47,0,0,NA
93,samp. TC0225,SULFIDE,ALABANDITE,"LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,23.8391205,0.16,0,0,0.11,1.66,0,0,0,0,54.25042644,2.80420672,3.1023502,0.1244709,0,33.74,0,0,NA
94,samp. PSS12-(3)-1,SULFIDE,ALABANDITE,NOT GIVEN,0,0,0,0,27.18350726,0.21,0,0,0.01,0.2,0,0,0,0,43.36979904,0.26289438,0.0762873,0,0,45.84,0,0.12,NA
95,samp. 80H1,SULFIDE,ALABANDITE,CARBONATITE,0,0,0,0,24.84796444,0.16,0,0,0.01,0.2,0,0,0,0,1.585644648,42.4386642,0.20597571,0.1244709,0.007809968,36.73,0,0,NA
96,samp. 80H1,SULFIDE,ALABANDITE,CARBONATITE,0,0,0,0,27.32170506,0.51,0,0,0.11,0.2,0,0,0,0,46.01678208,0,0.77558755,0.06223545,0,36.58,0,0.12,NA
97,samp. FS1-(2)-1,SULFIDE,ALABANDITE,NOT GIVEN,0,0,0,0,26.8103732,0.51,0,0,0.51,0.2,0,0,0,0,43.36979904,0.53830754,0.16528915,0.1244709,0.14004081,45.47,0,0,NA
98,samp. LS2-(3)-1,SULFIDE,ALABANDITE,NOT GIVEN,0,0,0,0,21.0751645,0.51,0,0,0.11,0.2,0,0,0,0,43.8406566,4.28142276,0.4322947,0.1244709,0,46.25,0,0,NA
99,samp. PSS14-(5)-2,SULFIDE,ALABANDITE,NOT GIVEN,0,0,0,0,28.56548526,0.16,0,0,0.11,0.2,0,0,0,0,45.6859092,1.57736628,0.13986005,0.51033069,0,41.36,0,0,NA
100,samp. TC0242/2,SULFIDE,ALABANDITE,"HARZBURGITE, XENOLITH",0,0,0,0,25.7047908,0.16,0,0,0.11,1.66,0,0,0,0,50.3308554,4.14371618,2.4920518,0.02489418,0.7540659,33.35,0,0.0975,NA
101,samp. ISL2,SULFIDE,ALABANDITE,"LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,23.36009335,0.16,0,0,0.51,0.2,0,0,0,0,6.135953584,24.22419858,0.828861515,0.47298942,1.37886336,36,0,0.0586,NA
102,samp. P-20,SULFIDE,ALABANDITE,"PERIDOTITE, XENOLITH",0,0,0,0,19.30623266,0.16,0,0,0.11,0.2,0,0,0,0,62.1557431,0,0.61538422,0,0.1077237,36.287,0,0.06,NA
103,samp. PSS12-(3)-2,SULFIDE,ALABANDITE,NOT GIVEN,0,0,0,0,27.92977538,0.16,0,0,0.01,1.66,0,0,0,0,41.89359696,0.88883338,0.1525746,0.06223545,0.24776451,45.53,0,0,NA
104,samp. TC0223,SULFIDE,ALABANDITE,"PYROXENITE, SPINEL, XENOLITH",0,0,0,0,29.69870722,0.51,0,0,0.01,1.66,0,0,0,0,49.59275436,0.82623948,2.70819915,0.51033069,0.16158555,35.99,0,0.0586,NA
105,samp. 1026V,SULFIDE,ALABANDITE,"LHERZOLITE, SPINEL-GARNET, XENOLITH",0,0,0,0,28.6069446,0.16,0,0,0.11,0.63,0,0,0,0,52.72332084,0.17526292,0.8391603,0,0,36.46,0,0,NA
106,samp. P-20,SULFIDE,ALABANDITE,"PERIDOTITE, XENOLITH",0,0,0,0,27.8219811,0.21,0,0,0.11,1.66,0,0,0,0,29.33442599,0.088883338,0.118245315,27.35994853,0,32.022,0,0,NA
107,samp. P-20,SULFIDE,ALABANDITE,"PERIDOTITE, XENOLITH",0,0,0,0,26.73436441,0.21,0,0,0.51,0.2,0,0,0,0,52.37335914,0.66349534,0.807373925,0,0.11849607,36.158,0,0.13,NA
108,samp. TC0223,SULFIDE,ALABANDITE,"PYROXENITE, SPINEL, XENOLITH",0,0,0,0,27.65337978,0.21,0,0,0.01,0.2,0,0,0,0,42.22446984,0.52578876,6.5861369,0,0.08617896,37.96,0,0.12,NA
109,samp. 98PSS-12(5),SULFIDE,ALABANDITE,NOT GIVEN,0,0,0,0,29.712527,0.21,0,0,0.01,1.66,0,0,0,0,39.132081,0,0.3560074,0.38585979,0.20467503,47.14,0,0.64,NA
110,samp. AM14,SULFIDE,ALABANDITE,PERIDOTITE,0,0,0,0,29.0906369,0.21,0,0,0.11,1.66,0,0,0,0,22.85568048,50.81372802,0.205085692,0,0,19.09,0,0,NA
111,samp. TC0223,SULFIDE,ALABANDITE,"PYROXENITE, SPINEL, XENOLITH",0,0,0,0,27.65337978,0.51,0,0,0.01,0.63,0,0,0,0,42.22446984,0.52578876,6.5861369,0.06223545,0.19390266,37.96,0,0.12,NA
112,samp. 159-2,SULFIDE,ALABANDITE,"HARZBURGITE, XENOLITH",0,0,0,0,29.68488744,0.16,0,0,0.51,0.63,0,0,0,0,50.54719536,0.1877817,0.47043835,0,0,36.4,0,0,NA
113,samp. TC0242/2,SULFIDE,ALABANDITE,"HARZBURGITE, XENOLITH",0,0,0,0,28.8142413,0.21,0,0,0.01,1.66,0,0,0,0,34.57621596,17.50125444,1.33502775,0.040453043,0.11849607,32.98,0,0,NA
114,samp. BD 4155,SULFIDE,ALABANDITE,"CARBONATITE, NATRO",0,0,0,0,28.6069446,0.95,0,0,0.51,1.66,0,0,0,0,42.67496599,0.03755634,1.66560605,10.56757941,1.37886336,32.9,0,0,NA
115,samp. TC0223,SULFIDE,ALABANDITE,"PYROXENITE, SPINEL, XENOLITH",0,0,0,0,29.69870722,0.16,0,0,0.01,0.2,0,0,0,0,49.59275436,0.82623948,2.70819915,0,0,35.99,0,0,NA
116,samp. 19,FELDSPAR,ALBITE,GRANITE,66.75110367,0,20.843,0.026,0.0377,2.1692,0.0245,0.0232,0.0978,10.8388463,0.2553,0,0.08,0.002,0,0,0,0,0,0,0,0,NA
117,samp. 7106,FELDSPAR,ALBITE,KERSANTITE,66.87,0,19.27,0,0.8,1.05,0,0,0.4,11.62,0,0,0,0,0.0222,0,0,0,0,0,0,0,NA
118,samp. 25-2,FELDSPAR,ALBITE,BASALT,69.74,0.01,19.67,0,0.06,0.04,0.01,0,0.04,10.69,0.02,0,0.01,0,0,0,0,0,0,0,0,0,NA
119,samp. AD06<U+00A0>,FELDSPAR,ALBITE,GRANITE,67.21,0.04,19.13,0.005,0.03,0.52,0.01,0.02,0.15,10.8,0,0,0,0,0,0,0,0,0,0,0,0,NA
120,samp. M200,FELDSPAR,ALBITE,SYENITE,68.07282,0.02,20.01043,0.0338,0.1831132,0.4469306,0,0,0.05669556,11.76535,0.011,0,0.0413,0,0.045,0,0,0,0,0,0,0,NA
121,samp. SV2,FELDSPAR,ALBITE,TRACHYTE,65.754,0,20.118,0.02,0.161,1.546,0,0.0159,1.127,9.94,0.1086741,0,0.01,0.004,0,0,0,0,0,0,0,0,NA
122,samp. 09TB66,FELDSPAR,ALBITE,"GRANITE, 2-MICA",65.91,0.02,21.4,0,0.0824,1.18,0,0.02,0.18,11,0.06,0,0,0.004,0.0376,0,0,0,0,0,0,0,NA
123,samp. RT-03-48,FELDSPAR,ALBITE,"GRANITE, ALKALINE",66.98798,0.086,19.26803,0,0.285849,0.4719618,0.002,2.00E-04,0.1570342,11.59319,0.01,0,0,0,0.02,0,0,0,0,0,0,0,NA
