"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"11","[727] FURNES H. (1987)","samp. FM42","OCEAN ISLAND","CAPE VERDE ISLANDS / MAIO",NA,15.15,15.15,-23.2,-23.2,"subaerial",NA,NA,"LAMPROPHYRE","APHYRIC",NA,NA,NA,"ANALCIME",NA,"groundmass",NA,NA,"primary",52.35,0.13,22.65,0,0.12,1.61,0.0763,0.02,2.65,10.86,0.116,14.3878,0.2586,0,NA,NA,NA,NA,NA,NA,NA,0.71,"FELDSPATHOID"
"12","[742] CELESTINO SILVA L. (1987)","samp. B-126/82","OCEAN ISLAND","CAPE VERDE ISLANDS / BOA VISTA","DIKE",16.1,16.1,-23,-23,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"ANALCIME",NA,"macrocryst",NA,NA,"primary",54.34,0.0128,22.6,0.04,0.22,0.33,0.0799,0,0.25,12.93,0.03,18.0269,0.04,0.0034,NA,NA,NA,NA,NA,NA,NA,1.07,"FELDSPATHOID"
"13","[742] CELESTINO SILVA L. (1987)","samp. B-127/82","OCEAN ISLAND","CAPE VERDE ISLANDS / BOA VISTA","DIKE",16.1,16.1,-23,-23,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"ANALCIME",NA,"macrocryst",NA,NA,"primary",54.87,0,22.47,0,0,0.01,0.01,0.018,0.08,12.57,0.3518,17.4396,0.2556,0.09,NA,NA,NA,NA,NA,NA,NA,0,"FELDSPATHOID"
"14","[742] CELESTINO SILVA L. (1987)","samp. B-125/82","OCEAN ISLAND","CAPE VERDE ISLANDS / BOA VISTA","DIKE",16.1,16.1,-23,-23,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"PSEUDOLEUCITE",NA,NA,NA,NA,"secondary",57.18,0.134,22.14,0.02,0.6406423,0.3,0.05,0.0127,10.22,5.71,0,17.4396,0,0.0216,NA,NA,NA,NA,NA,NA,NA,0,"FELDSPATHOID"
"15","[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY",-9.42,-9.42,-140,-140,"subaerial",NA,NA,"PHONOLITE","SUBAPHYRIC",NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",44.44,3e-04,32.94,0,0.1923,0.22,0.02,0,4.5,16.89,0.03,0.3,0,0.6515314,NA,NA,NA,NA,NA,NA,NA,9.41,"FELDSPATHOID"
"16","[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY",-9.42,-9.42,-140,-140,"subaerial",NA,NA,"PHONOLITE","SUBAPHYRIC",NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",44.8,0.0271,33,0.03,0.6023,0.5061,0.06,0,4.47,16.48,0.03,5.22120000000001,0.112,0.2427,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"17","[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY",-9.42,-9.42,-140,-140,"subaerial",NA,NA,"PHONOLITE","SUBAPHYRIC",NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",44.58,0.0015,32.76,0,0.539,0.455765613398485,0,0,3.7,16.49,0.02,7.92980000000001,0,0.041,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"18","[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY",-9.42,-9.42,-140,-140,"subaerial",NA,NA,"PHONOLITE","SUBAPHYRIC",NA,NA,NA,"SODALITE",NA,NA,NA,NA,"primary",41.1,0,29.37,0.01,0.583,0.03,0,0,0.8,20.64,0.23,0.3,0,5.917518,NA,NA,NA,NA,NA,NA,NA,2.95,"FELDSPATHOID"
"19","[784] BROUSSE R. (1978)","samp. 1","OCEAN ISLAND","MARQUESAS / UA POU","HOHOI BAY",-9.42,-9.42,-140,-140,"subaerial",NA,NA,"PHONOLITE","SUBAPHYRIC",NA,NA,NA,"ANALCIME",NA,NA,NA,NA,"primary",53.25,0,22.29,0,0.481,0.62,0.0629,0,0.06,12.91,0,14.3167,0,0,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"20","[808] FODOR R. V. (1982)","samp. G","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / AITUTAKI",NA,-18.83,-18.83,-159.83,-159.83,"subaerial",NA,NA,"CLINOPYROXENITE, XENOLITH",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",43.7,0.1075,33.8,0,0.82,0.35,0.64,0,6.5,12.9,0.2369,8.43350000000001,0.2556,0.53,NA,NA,NA,NA,NA,NA,NA,0.22,"FELDSPATHOID"
