SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,MINERAL,GROUP
52.84,0.24,3.72,0.27,13.63,12.12,13.65,0.3,0.12,0.47,0.02,2.13,0.07,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,ACTINOLITE,AMPHIBOLES
49.43,0.11,6.35,0.23,18.82,18.33,9.02,0.51,0.0,1.17,0.18,2.07,0.21,0.08,0.03,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,ACTINOLITE,AMPHIBOLES
53.65,0.16,2.35,0.06,9.37,12.3,17.71,0.27,0.19,0.68,0.01,2.05,0.29,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.0,ACTINOLITE,AMPHIBOLES
55.88,0.11,3.21,0.42,6.82,12.45,18.78,0.25,0.03,0.29,0.01,2.16,0.16,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
48.5,0.37,7.36,0.08,16.14,12.29,10.96,0.24,0.61,0.55,0.0,2.1,0.15,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.64,0.22,4.01,0.09,9.23,12.23,16.66,0.07,0.08,0.2,0.02,2.03,0.62,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ACTINOLITE,AMPHIBOLES
53.2,0.08,3.86,0.0,14.4,12.69,14.61,0.23,0.21,0.27,0.0,2.13,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
51.14,0.83,4.09,0.02,14.97,11.81,14.44,0.33,0.34,0.64,0.01,2.01,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
54.39,0.19,1.64,0.0,12.65,12.46,15.95,0.41,0.03,0.22,0.02,2.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
53.78,0.09,3.0,0.06,11.91,11.88,15.63,0.46,0.12,0.32,0.01,1.99,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
54.2,0.26,1.4,0.0,13.4,11.73,15.99,0.45,0.14,0.71,0.01,2.04,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
52.5,0.35,2.52,0.01,17.8,11.5,10.8,0.58,0.26,0.88,0.0,2.01,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ACTINOLITE,AMPHIBOLES
54.15,0.31,2.82,0.06,9.01,12.22,18.53,0.18,0.04,0.37,0.03,2.07,0.21,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
51.57,0.36,3.25,0.0,12.27,11.54,15.85,0.68,0.37,1.13,0.0,1.95,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.46,0.63,4.47,0.06,12.85,11.68,13.92,0.4,0.39,1.12,0.11,1.77,0.22,0.07,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,ACTINOLITE,AMPHIBOLES
50.92,0.36,3.38,0.02,15.44,11.76,14.08,0.53,0.2,0.57,0.0,2.03,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
52.28,0.0,1.6,0.09,11.98,11.55,16.23,0.33,0.0,0.14,0.0,2.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
53.21,0.26,1.92,0.26,10.22,11.56,19.11,0.31,0.21,0.63,0.0,2.01,0.21,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
50.86,0.19,6.78,0.43,6.83,12.69,18.22,0.25,0.24,0.9,0.0,2.03,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
53.21,0.3,2.83,0.29,9.1,11.85,18.7,0.26,0.24,0.58,0.0,2.04,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.33,0.0,ACTINOLITE,AMPHIBOLES
51.49,0.22,3.74,0.0,12.31,13.02,14.75,0.43,0.3,0.62,0.0,2.03,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
56.18,0.02,0.98,0.0,11.36,11.37,16.09,0.17,0.05,0.14,0.0,2.49,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
54.68,0.13,2.02,0.14,8.67,12.69,18.39,0.07,0.04,0.51,0.01,2.04,0.16,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
50.57,0.15,4.12,0.04,10.47,11.6,16.66,0.59,0.4,0.64,0.0,2.07,1.13,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
50.59,0.5,2.75,0.23,17.87,11.12,12.95,0.48,0.25,0.69,0.02,1.85,0.18,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ACTINOLITE,AMPHIBOLES
50.43,0.0,4.09,0.0,14.55,11.24,14.38,0.41,0.06,0.37,0.01,2.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.67,0.54,3.34,0.13,9.54,12.53,18.26,0.2,0.21,0.43,0.0,2.05,0.12,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.19,0.0,ACTINOLITE,AMPHIBOLES
55.07,0.12,1.64,0.04,6.77,13.14,19.78,0.1,0.24,0.48,0.25,2.03,0.15,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
50.4,0.44,3.05,0.01,19.5,11.4,10.6,0.49,0.36,0.87,0.0,2.14,0.33,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
50.89,0.21,1.98,0.0,22.32,11.76,9.93,0.65,0.16,0.39,0.03,1.98,0.09,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
44.93,1.55,0.49,10.98,11.31,11.98,15.61,0.1,0.26,1.7,0.03,2.08,0.82,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
53.01,0.16,3.79,0.14,14.0,12.39,14.11,0.27,0.16,0.37,0.01,2.13,0.07,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
54.36,0.24,2.51,0.09,8.87,12.41,18.47,0.14,0.04,0.43,0.02,2.06,0.19,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
52.61,0.03,1.61,0.08,12.09,11.69,16.19,0.34,0.0,0.16,0.0,2.04,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.1,0.49,3.88,0.16,14.21,11.98,13.99,0.31,0.22,0.54,0.02,2.08,0.14,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
55.18,0.12,1.86,0.09,6.78,13.04,19.64,0.12,0.21,0.45,0.22,2.05,0.15,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
55.72,0.03,1.37,0.01,11.47,11.47,16.0,0.23,0.06,0.17,0.0,2.39,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
51.86,0.29,2.3,0.0,19.61,11.6,10.45,0.61,0.22,0.68,0.01,2.0,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
50.67,0.15,4.11,0.04,10.41,11.63,16.66,0.57,0.39,0.62,0.0,2.07,1.11,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.0,ACTINOLITE,AMPHIBOLES
50.91,0.35,3.4,0.02,15.41,11.74,14.09,0.53,0.2,0.56,0.0,2.03,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
50.83,0.24,2.12,0.0,21.96,11.71,10.02,0.63,0.19,0.45,0.03,2.0,0.12,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
53.43,0.3,2.83,0.23,9.08,11.94,18.66,0.24,0.2,0.53,0.01,2.05,0.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.04,0.0,ACTINOLITE,AMPHIBOLES
51.66,0.35,5.26,0.3,8.03,12.62,18.24,0.23,0.23,0.69,0.0,2.04,0.19,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ACTINOLITE,AMPHIBOLES
54.24,0.29,2.7,0.06,8.78,12.32,18.66,0.17,0.06,0.38,0.05,2.07,0.2,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
52.83,0.47,3.19,0.17,9.41,12.33,18.39,0.22,0.22,0.48,0.0,2.05,0.09,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.52,0.0,ACTINOLITE,AMPHIBOLES
47.38,0.94,2.07,6.22,10.94,11.81,16.07,0.31,0.32,1.24,0.02,2.08,0.95,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.0,ACTINOLITE,AMPHIBOLES
54.49,0.15,2.12,0.16,8.73,12.58,18.43,0.09,0.07,0.52,0.01,2.04,0.14,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ACTINOLITE,AMPHIBOLES
55.02,0.12,1.69,0.05,7.01,13.08,19.6,0.1,0.22,0.48,0.22,2.03,0.15,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
52.55,0.22,4.15,0.11,9.11,12.25,16.74,0.08,0.09,0.23,0.02,2.03,0.6,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ACTINOLITE,AMPHIBOLES
53.25,0.3,2.83,0.28,9.1,11.87,18.7,0.26,0.23,0.57,0.0,2.04,0.01,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.27,0.0,ACTINOLITE,AMPHIBOLES
37.07,0.01,0.02,0.0,31.09,0.0,32.38,0.45,0.0,0.0,0.01,2.06,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.56,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.31,0.75,3.89,0.0,21.08,0.29,5.42,0.57,0.18,3.3,0.46,1.1,2.71,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.78,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.76,0.04,0.0,0.02,31.94,0.02,31.72,0.46,0.0,0.01,0.0,2.05,0.0,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ANTHOPHYLLITE,AMPHIBOLES
52.74,0.88,3.85,0.22,19.93,0.32,19.1,0.18,0.47,2.86,0.05,2.06,0.27,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.34,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.45,0.08,1.09,0.01,16.62,1.01,22.45,0.54,0.0,0.12,0.08,2.2,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.87,0.76,2.2,0.07,19.75,0.41,6.61,0.67,0.13,3.27,0.25,1.7,1.59,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.22,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.38,0.08,0.95,0.0,17.24,0.93,22.23,0.52,0.01,0.11,0.05,3.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
53.18,0.93,3.12,0.0,20.45,0.3,19.5,0.27,1.17,3.6,0.46,0.7,1.64,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.81,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.68,0.01,0.0,0.02,31.75,0.04,31.82,0.44,0.01,0.0,0.0,3.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.91,0.0,0.43,0.0,17.82,1.46,19.95,0.72,0.0,0.0,0.17,2.0,0.19,0.01,0.07,0.0,0.0,0.0,0.0,0.0,1.64,0.0,ANTHOPHYLLITE,AMPHIBOLES
57.02,0.75,2.42,0.1,19.4,0.42,6.83,0.48,0.12,2.93,0.04,1.87,1.47,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.77,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.8,0.03,0.01,0.01,31.57,0.08,31.93,0.4,0.0,0.0,0.29,1.96,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.36,0.03,2.77,0.15,20.63,0.15,6.84,0.36,0.04,2.78,0.04,2.09,2.01,0.08,0.07,0.0,0.0,0.0,0.0,0.0,2.33,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.91,0.07,1.08,0.0,18.42,0.65,21.43,0.55,0.01,0.09,0.04,2.22,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ANTHOPHYLLITE,AMPHIBOLES
42.6,0.03,3.0,0.18,6.3,0.17,35.7,0.1,0.87,1.29,0.14,1.41,0.61,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.66,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.77,0.85,1.98,0.17,21.28,0.39,5.24,0.84,0.15,3.2,0.27,1.72,1.53,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.27,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.08,0.06,0.94,0.01,17.03,0.72,22.35,0.5,0.0,0.11,0.08,2.19,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.76,0.13,0.94,0.01,23.77,0.27,5.49,0.77,0.05,3.3,0.0,1.94,0.97,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANTHOPHYLLITE,AMPHIBOLES
37.23,0.03,0.02,0.03,29.17,0.14,33.69,0.37,0.0,0.02,0.0,2.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.57,0.03,0.0,0.0,32.25,0.02,31.6,0.49,0.0,0.0,0.01,2.7,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.43,1.16,2.15,0.12,21.62,0.4,4.76,0.94,0.14,3.09,0.09,2.03,1.14,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.33,0.0,ANTHOPHYLLITE,AMPHIBOLES
39.63,0.03,0.01,0.18,13.99,0.2,45.68,0.24,0.03,0.0,0.83,1.98,0.21,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.26,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.7,0.03,0.8,0.05,17.83,2.94,19.28,1.1,0.0,0.07,0.15,1.96,0.08,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.35,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.45,0.43,2.69,0.04,19.12,0.34,7.01,0.5,0.17,3.24,0.17,1.96,1.76,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ANTHOPHYLLITE,AMPHIBOLES
54.84,0.02,3.23,0.05,14.16,2.36,23.3,0.23,0.02,0.22,0.36,2.21,0.0,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.35,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.63,1.28,1.62,0.04,19.44,0.22,6.5,0.56,0.18,3.02,0.05,2.07,1.43,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.56,0.0,0.13,0.04,13.17,0.77,24.33,0.62,0.02,0.04,0.01,2.43,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.19,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.16,1.04,1.74,0.07,23.31,0.54,6.44,0.24,0.18,2.63,0.12,1.7,1.77,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.93,0.01,0.0,0.0,30.41,0.01,32.78,0.47,0.01,0.0,0.01,1.96,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.3,0.07,0.86,0.0,17.34,1.03,21.83,0.55,0.01,0.09,0.07,2.82,0.07,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.41,0.0,ANTHOPHYLLITE,AMPHIBOLES
52.79,0.89,3.76,0.19,19.99,0.32,19.15,0.19,0.55,2.95,0.1,1.9,0.43,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.4,0.0,ANTHOPHYLLITE,AMPHIBOLES
54.24,0.45,2.31,0.13,18.87,1.65,19.19,0.64,0.23,1.45,0.1,2.01,0.18,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.35,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.95,1.16,1.8,0.06,19.43,0.27,6.57,0.54,0.17,3.0,0.05,2.02,1.44,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.29,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.49,0.46,2.67,0.04,19.15,0.34,7.0,0.5,0.16,3.22,0.16,1.95,1.74,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.26,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.99,0.07,1.01,0.0,17.77,0.68,21.86,0.53,0.01,0.1,0.06,2.2,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.28,0.07,1.02,0.01,16.81,0.87,22.4,0.52,0.0,0.11,0.08,2.19,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.93,0.01,0.0,0.0,30.41,0.01,32.78,0.47,0.01,0.0,0.01,1.96,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.51,1.08,2.16,0.11,21.26,0.41,5.11,0.89,0.14,3.13,0.12,1.97,1.22,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.31,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.0,0.07,1.01,0.0,17.71,0.69,21.9,0.52,0.01,0.1,0.06,2.2,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.8,0.73,2.22,0.07,19.79,0.4,6.62,0.66,0.13,3.25,0.24,1.72,1.61,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.32,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.94,0.71,2.46,0.09,19.36,0.41,6.86,0.48,0.12,2.97,0.06,1.88,1.51,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.69,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.74,0.02,0.73,0.04,17.83,2.64,19.42,1.02,0.0,0.05,0.15,1.97,0.1,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.62,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.31,1.15,2.11,0.12,21.77,0.42,4.92,0.87,0.15,3.05,0.09,2.0,1.2,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.31,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.32,0.08,0.95,0.0,17.2,0.89,22.25,0.51,0.01,0.11,0.06,2.85,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.39,0.01,2.23,0.05,13.84,1.85,23.63,0.36,0.02,0.16,0.25,2.29,0.0,0.01,0.13,0.0,0.0,0.0,0.0,0.0,0.3,0.0,ANTHOPHYLLITE,AMPHIBOLES
38.59,0.02,0.01,0.11,20.32,0.13,40.71,0.33,0.02,0.0,0.51,1.97,0.13,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.51,0.49,1.26,0.04,23.59,0.38,5.87,0.56,0.1,3.03,0.05,1.85,1.29,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.75,1.15,1.78,0.04,19.4,0.24,6.57,0.55,0.18,3.05,0.07,2.05,1.48,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.15,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.61,0.56,2.5,0.05,19.36,0.37,6.86,0.57,0.15,3.25,0.2,1.86,1.7,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.22,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.79,0.03,0.01,0.01,31.64,0.07,31.89,0.41,0.0,0.0,0.24,1.98,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ANTHOPHYLLITE,AMPHIBOLES
51.96,0.71,0.37,0.0,31.73,0.12,0.06,0.66,1.75,9.64,0.71,1.11,2.46,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
50.9,4.7,1.7,0.0,14.4,2.4,11.1,0.17,2.3,7.7,0.13,0.92,2.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ARFVEDSONITE,AMPHIBOLES
50.89,2.73,0.54,0.01,24.47,3.12,6.18,3.26,1.23,7.89,0.44,0.46,2.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
48.31,1.11,0.49,0.0,35.51,1.93,0.03,2.49,1.55,7.42,0.0,1.11,1.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,ARFVEDSONITE,AMPHIBOLES
50.45,3.74,0.0,0.16,20.77,1.12,8.94,0.52,4.89,7.31,0.44,0.75,1.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
50.71,1.05,0.61,0.02,32.76,0.42,0.18,0.8,1.79,9.36,0.0,0.88,2.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ARFVEDSONITE,AMPHIBOLES
56.81,3.8,0.3,0.0,21.41,0.13,8.19,0.03,0.23,5.61,0.17,2.04,1.2,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ARFVEDSONITE,AMPHIBOLES
55.29,1.86,0.21,0.28,14.14,2.56,14.02,0.25,2.0,7.74,0.1,1.21,1.43,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ARFVEDSONITE,AMPHIBOLES
49.19,1.6,0.26,0.0,33.92,3.31,0.15,1.1,1.8,6.86,1.33,0.74,2.64,0.02,0.01,0.0,0.0,0.0,0.0,0.0,1.24,0.0,ARFVEDSONITE,AMPHIBOLES
52.86,1.55,0.01,0.02,17.69,0.11,9.99,1.66,5.27,7.41,0.03,1.19,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ARFVEDSONITE,AMPHIBOLES
48.41,4.36,1.08,0.05,25.42,2.68,5.79,0.17,3.16,6.71,0.15,1.62,0.64,0.01,0.04,0.0,0.0,0.0,0.0,0.0,1.24,0.0,ARFVEDSONITE,AMPHIBOLES
50.43,0.7,0.28,0.0,32.78,0.13,0.12,0.56,1.68,9.37,0.0,0.9,2.58,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ARFVEDSONITE,AMPHIBOLES
49.05,4.87,0.81,0.06,21.94,2.47,7.85,0.18,3.48,6.75,0.04,1.58,0.78,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
56.45,0.0,0.28,0.08,12.0,2.59,17.71,0.34,0.7,8.28,0.3,1.36,1.79,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.79,0.0,ARFVEDSONITE,AMPHIBOLES
49.83,4.08,0.89,0.09,24.7,1.61,5.88,0.03,3.26,5.97,0.17,1.91,0.07,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ARFVEDSONITE,AMPHIBOLES
52.3,0.5,0.7,0.05,18.3,5.7,11.4,0.6,2.4,4.9,0.06,1.01,1.58,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,ARFVEDSONITE,AMPHIBOLES
40.25,6.78,1.25,0.17,39.74,0.41,1.71,2.02,0.06,7.35,0.04,1.28,1.06,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.78,0.0,ARFVEDSONITE,AMPHIBOLES
48.29,1.75,2.16,0.0,32.54,3.38,0.52,0.69,1.35,7.14,0.68,0.79,1.29,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ARFVEDSONITE,AMPHIBOLES
50.66,1.79,0.31,0.0,31.26,0.22,0.19,0.96,1.98,9.54,0.73,0.7,2.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ARFVEDSONITE,AMPHIBOLES
54.52,0.29,0.17,0.0,17.2,0.31,11.9,0.42,1.85,7.64,0.0,0.9,1.32,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ARFVEDSONITE,AMPHIBOLES
48.8,0.05,0.99,0.0,33.2,1.38,0.18,1.38,1.66,7.07,0.68,1.54,1.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ARFVEDSONITE,AMPHIBOLES
50.49,3.99,0.0,0.2,20.79,1.2,8.51,0.63,4.43,7.32,0.0,1.01,1.4,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
41.75,5.07,0.56,0.05,40.36,0.18,1.25,2.56,0.65,7.43,0.01,1.78,1.22,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ARFVEDSONITE,AMPHIBOLES
50.19,0.76,0.46,0.03,32.64,0.17,0.08,0.52,1.55,9.43,0.19,0.7,2.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ARFVEDSONITE,AMPHIBOLES
49.26,0.58,0.15,0.0,34.04,2.79,0.08,1.64,1.42,6.87,0.03,1.1,2.11,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.94,0.0,ARFVEDSONITE,AMPHIBOLES
48.64,0.23,0.2,0.0,36.82,3.01,0.16,1.04,1.52,6.84,0.82,1.22,2.54,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.55,0.0,ARFVEDSONITE,AMPHIBOLES
51.34,4.06,0.72,0.03,19.94,0.73,9.0,0.2,3.22,7.09,0.01,1.65,0.7,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.66,0.0,ARFVEDSONITE,AMPHIBOLES
