"","SAMPLE","MINERAL","GROUP","As","W","Fe","Co","Ni","Cu","Zn","Bi","Te","Pt","Au","Mo","S","Pb","Ag","Sb","Cr","V","Se","Mn","Cd","Hg","value"
"33","Mãe de Leite","SPHALERITE","SULFIDE",0,0,0.52,0.01,0.02,0.05,65.68,0,0.01,0.01,0.02,0.12,32.13,0.08,0,0,0.02,0,0.021,0,1.041,0,99.732
"34","Valdette","SPHALERITE","SULFIDE",0.01,0,0.19,0,0,0.07,65.41,0,0,0.02,0,0.18,32.17,0.08,0,0,0.0015,0,0.015,0,1.213,0,99.3595
"35","Galena","SPHALERITE","SULFIDE",0.01,0,0.76,0.01,0.01,0.12,63.41,0,0,0,0,0.11,32.33,0.05,0,0,0.0015,0.01,0.025,0,1.213,0,98.0595
"36","Serra","SPHALERITE","SULFIDE",0,0.01,1.5,0,0.01,0.93,64.06,0,0,0,0,0.13,32.01,0.12,0,0,0,0,0.012,0.046,1.041,0,99.869
"37","Serra","SPHALERITE","SULFIDE",0,0,0.74,0.02,0,0.01,66.61,0,0,0,0,0.2,31.66,0.09,0.01,0,0.01,0,0.021,0,1.213,0,100.584
"38","Meio","SPHALERITE","SULFIDE",0,0,0.26,0.01,0.01,0.08,65.69,0,0,0,0,0.15,33.03,0.05,0,0.01,0.005,0,0.028,0,1.041,0,100.364
"39","Meio","SPHALERITE","SULFIDE",0.02,0.02,0.25,0.01,0.01,0.07,66.17,0,0,0,0,0.16,33.25,0.08,0,0,0,0,0.003,0,1.213,0,101.256
"40","Serra","AIKINITE","SULFIDE",0.01,0,0.308,0,0,11.04,0,36.403,0,0,0,0.578,16.652,34.195,0,0.01,0,0,0.126,0,0.528,0,99.85
"41","ek65e 1c 1","PYRITE","SULFIDE",0,0.013,46.37,0.05,0,0.01,0,0.12,0.01,0,0,0.11,53.32,0.09,0,0.015,0,0,0,0,0,0,100.108
"42","ek65e 1c 2","PYRITE","SULFIDE",0,0.009,46.17,0.16,0.02,0.01,0,0.13,0.057,0.021,0,0.16,53.51,0.06,0,0.02,0.01,0,0.022,0,0.006,0,100.365
"43","ek65e 1c 3","PYRITE","SULFIDE",0.01,0,45.68,0.06,0.04,0,0,0.17,0,0,0,0.11,53.06,0.07,0,0,0,0.01,0.008,0,0,0,99.218
"44","ek65e 2c 1","PYRITE","SULFIDE",0.03,0.005,46.49,0.08,0,0.02,0,0.03,0,0,0,0.12,53.57,0.22,0,0,0.02,0.01,0.006,0,0.105,0,100.706
"45","ek65e 2c 2","PYRITE","SULFIDE",0.02,0,46.79,0.04,0.03,0.02,0,0.16,0.01,0.02,0,0.07,53.83,0.08,0,0,0,0.01,0.025,0,0,0,101.105
"46","ek65e 2c 3","PYRITE","SULFIDE",0,0.013,46.46,0.05,0,0,0.02,0.19,0.05,0,0,0.16,53.76,0.14,0.05,0.032,0,0,0.003,0,0.014,0,100.942
"47","ek65e 2c 4","PYRITE","SULFIDE",0.11,0,46.56,0.03,0,0.01,0,0.11,0.051,0,0,0.16,53.63,0.09,0.01,0,0,0.01,0.006,0,0.105,0,100.882
"48","ek65e 2c 5","PYRITE","SULFIDE",0.08,0.044,46.17,0.07,0.02,0,0.01,0.2,0,0,0,0.12,53.42,0.05,0,0.02,0.01,0.01,0.01,0,0.027,0,100.261
"49","ek65e 3c 1","PYRITE","SULFIDE",0.04,0.002,46,0.18,0.42,0.04,0.01,0.17,0.01,0.021,0,0.13,53.68,0.2,0.04,0.01,0.01,0,0.022,0,0.014,0,100.999
"50","ek65e 3c 2","PYRITE","SULFIDE",0,0,46.28,0.18,0.1,0,0,0.06,0,0,0,0.07,53.03,0.13,0.01,0,0,0.01,0.009,0,0.001,0,99.88
"51","ek65e 3c 3","PYRITE","SULFIDE",0.34,0.042,46.39,0.07,0,0.01,0,0.12,0.026,0.007,0,0.16,53.2,0.1,0.01,0.02,0.01,0.01,0.019,0,0.005,0,100.539
"52","ek65e 3c 4","PYRITE","SULFIDE",0,0,46.51,0.08,0.02,0.02,0.03,0.12,0,0,0,0.12,53.24,0.04,0,0,0.01,0,0,0,0,0,100.19
"53","ek65e 3c 5","PYRITE","SULFIDE",0.07,0.012,46.42,0.09,0,0,0,0.13,0.01,0,0,0.09,53.57,0.07,0.01,0.011,0,0,0.012,0,0.031,0,100.526
"54","ek65e 4c 1","PYRITE","SULFIDE",0.08,0.021,46.41,0.07,0.03,0.06,0,0.08,0,0,0,0.09,53.49,0.12,0,0,0,0,0,0,0,0,100.451
"55","ek65e 4c 2","PYRITE","SULFIDE",0.3,0,46.48,0.03,0.02,0.03,0.02,0.21,0.01,0,0,0.12,53.37,0.1,0,0.01,0.01,0,0,0,0.031,0,100.741
