SAMPLE	MINERAL	GROUP	   S     	   Fe    	   As    	   Pb    	   Cu    	   Zn    	   Au    	   Ag    	   Bi    	   Co    	   Ni    	   Cr    	   V     
DED-412_C1_Py 2 	PYRITE	SULFIDE	51.585	44.553	0	0.191	0.009	0.008	0	0	0	0.038	0.021		
DED-412_C1_Py 3 	PYRITE	SULFIDE	49.161	41.841	0	0.213	0.067	0.013	1.955	1.767	0	0.013	0		
DED-412_C1_Py 4 	PYRITE	SULFIDE	51.743	44.724	0	0.132	0	0.006	0	0.012	0	0.043	0.004		
DED-412_C1_Py 5 	PYRITE	SULFIDE	50.829	44.562	0	0.281	0.03	0	0	0.005	0	0.037	0.028		
DED-412_C1_Py 6 	PYRITE	SULFIDE	51.38	44.77	0	0.146	0.018	0	0	0.014	0	0.068	0.01		
EK-37_C1_Py 1 	PYRITE	SULFIDE	51.001	45.17	0	0.153	0.024	0	0	0	0	0.042	0.007		
EK-37_C2_Py 2 	PYRITE	SULFIDE	51.138	44.56	0	0.239	0.037	0	0	0	0	0.037	0		
EK-37_C2_Py 3 	PYRITE	SULFIDE	50.928	44.536	0	0.271	0.004	0.063	0.007	0.016	0	0.041	0.013		
EK-37_C2_Py 4 	PYRITE	SULFIDE	51.074	45.193	0	0.217	0.024	0.067	0	0.015	0.018	0.027	0.028		
EK-37_C2_Py 5 	PYRITE	SULFIDE	50.454	45.029	0	0.26	0	0.011	0	0.009	0	0.073	0.006		
EK-37_C2_Py 6 	PYRITE	SULFIDE	51.041	44.777	0	0.264	0.044	0.05	0	0	0.008	0.077	0.014		
EK-37_C2_Py 7 	PYRITE	SULFIDE	50.538	44.458	0	0.133	0.001	0	0.014	0	0	0.015	0.028		
EK-37_C3_Py 8 	PYRITE	SULFIDE	50.839	44.546	0.004	0.072	0.044	0.086	0	0	0	0.057	0.035		
EK-37_C3_Py 10 	PYRITE	SULFIDE	50.633	44.648	0.02	0.223	0.004	0	0	0	0	0.04	0.011		
EK-37_C3_Py 11 	PYRITE	SULFIDE	50.776	45.079	0	0.224	0.043	0	0.057	0	0	0.028	0		
EK-15_C1_Py 1 	PYRITE	SULFIDE	50.405	44.452	0	0.16	0.081	0.018	0	0	0	0.143	0.017		
EK-15_C2_Py 5 	PYRITE	SULFIDE	49.877	44.763	0	0.209	0.038	0	0	0	0	0.049	0.051		
EK-15_C3_Py 7 	PYRITE	SULFIDE	50.489	44.954	0	0.158	0.043	0	0	0	0	0.107	0.043		
DED-413_C1_Py 1 	PYRITE	SULFIDE	49.934	44.714	0	0.092	0.005	0.034	0	0	0	0.065	0		
ek216d 3c 1 	ARSENOPYRITE	SULFIDE	22.049	35.5265	42.54	0.0795	0.0075	0.043	0	0.011	0.024	0.035	0.009	0.0065	0
ek216d 3c 5 	ARSENOPYRITE	SULFIDE	22.196	36.012	41.874	0	0.01	0.032	0	0	0	0.012	0.012	0	0
ek216d 1c 2 	ARSENOPYRITE	SULFIDE	22.201	35.205	41.7215	0.112	0.018	0.0135	0.015	0.004	0.0015	0.049	0.005	0.0015	0.001
ek66a 1c 7 	CHALCOPYRITE	SULFIDE	35.232	29.853	0.007	0.04	33.367	0	0	0.03	0.064	0.008	0	0.005	0.016
ek66a 1c 9 	CHALCOPYRITE	SULFIDE	34.642	29.934	0	0.023	33.799	0.04	0	0.022	0.102	0.039	0	0	0
ek67b 1c 2 	CHALCOPYRITE	SULFIDE	35.062	29.565	0	0.109	33.001	0	0	0.007	0.072	0.205	0.573	0.028	0
ek67b 3c 3 	CHALCOPYRITE	SULFIDE	35.019	29.525	0.048	0	33.532	0.124	0	0.017	0.066	0.164	0.326	0	0
ek67b 5c 1 	CHALCOPYRITE	SULFIDE	35.181	29.744	0	0.013	33.729	0.105	0	0.02	0.081	0.018	0.004	0	0.01
ek67b 5c 4 	CHALCOPYRITE	SULFIDE	35.393	29.989	0	0.059	33.712	0	0	0.019	0	0.037	0.061	0.013	0
ek67b 5c 6 	CHALCOPYRITE	SULFIDE	34.022	28.326	0.77	0.082	31.902	0	0	0.016	0.12	0.141	1.603	0	0.002
ek67b 1c 9 	CHALCOPYRITE	SULFIDE	34.786	29.701	0.064	0.061	33.073	0.073	0	0	0.039	0.179	0.374	0.011	0.002
16-108_C1_Cpy 1 	CHALCOPYRITE	SULFIDE	33.125	30.891	0	0.139	33.767	0.027	0	0	0	0.028	0		
16-108_C1_Cpy 2 	CHALCOPYRITE	SULFIDE	33.325	30.474	0	0.235	34.277	0	0	0.04	0.018	0.07	0		
16-108_C1_Cpy 3 	CHALCOPYRITE	SULFIDE	33.542	30.664	0	0.088	34.155	0.023	0	0.006	0	0.038	0.011		
ek67b 2c 3 	SPHALERITE	SULFIDE	32.697	3.537	0.023	0.035	1.558	59.777	0	0	0.114	0.112	1.253	0.01	0
DED-411_C1_Esf 1 	SPHALERITE	SULFIDE	32.517	6.992	0	0.114	0.139	61.83	0	0	0	0.033	0		
